release_item_id	category	project_relative_path	sha1	bytes	archive_status	provenance	notes
T4E-AUDIT-010	TASK4E_AUDIT	visualizations/manuscript_audits/fig2_enrichment_backend_formal_audit/manuscript_manual_update_recommendations.tsv	cbd1f1a6f45a1565076ecb816d5e70d0d2a78010	1324	INCLUDED	Task 4E audit directory	Manual manuscript wording recommendations; no manuscript edits performed.
T4E-AUDIT-011	TASK4E_AUDIT	visualizations/manuscript_audits/fig2_enrichment_backend_formal_audit/minimal_reconstruction_plan.tsv	1d17f2f7a0890d92f0938ec451c7b07b283c5714	385	INCLUDED	Task 4E audit directory	Records that minimal reconstruction is not required.
T4E-AUDIT-012	TASK4E_AUDIT	visualizations/manuscript_audits/fig2_enrichment_backend_formal_audit/unresolved_records.tsv	88ee9d77d765f6dcad0e026e522059510c886cb4	1582	INCLUDED	Task 4E audit directory	Bounded unresolved historical command and environment records.
T4F-CLOSURE-001	FROZEN_DATASET_MANIFEST	reproducibility_release/manifests/dataset_manifest_v1.0.tsv	64223e7846fc3cc8228a076b0f3e069742f58afe	145810	FROZEN	source_task=Task 4F-Closure;redistribution_class=MANIFEST_ONLY	Human-approved immutable dataset manifest v1.0.
T4F-CLOSURE-002	FROZEN_EXPERIMENT_MANIFEST	reproducibility_release/manifests/experiment_manifest_v1.0.tsv	347539ed5677dc89318772333552d5944821a355	97044	FROZEN	source_task=Task 4F-Closure;redistribution_class=MANIFEST_ONLY	Human-approved immutable experiment manifest v1.0.
T4F-CLOSURE-003	FROZEN_MANIFEST_METADATA	reproducibility_release/manifests/manifest_v1.0_metadata.json	0141fc28d9a106a8c7995a5a5658bf60fe298ef5	2284	FROZEN	source_task=Task 4F-Closure;redistribution_class=METADATA_ONLY	Formal v1.0 freeze metadata and bounded release constraints.
T4F-CLOSURE-004	HUMAN_APPROVAL_RECORD	reproducibility_release/manifests/manifest_v1.0_human_approval.json	711ae2b8a6d973725ab28e0423d5925fe90ca495	1720	FROZEN	source_task=Task 4F-Closure;redistribution_class=METADATA_ONLY	Human approval and accepted unresolved non-blocking fields.
T4F-CLOSURE-005	MANIFEST_FREEZE_REPORT	reproducibility_release/manifests/manifest_v1.0_freeze_report.md	ed00f3643e577dea77f0b5d7248332ed5d022902	2135	FROZEN	source_task=Task 4F-Closure;redistribution_class=DOCUMENTATION_ONLY	Task 4F closure decision, constraints, and immutability rule.
T4F-CLOSURE-006	FREEZE_VALIDATION_SCRIPT	scripts/run_task4f_finalize_manifest_freeze.py	6eb18ed96645e0e54827de6b181b5dca67fafdd6	23560	INCLUDED	source_task=Task 4F-Closure;redistribution_class=SOURCE_CODE_ONLY	Deterministic archival freeze and idempotency validator; not an experimental runner.
T4F-CANDIDATE-001	APPROVED_FREEZE_CANDIDATE	reproducibility_release/manifests/dataset_manifest_v1.0_freeze_candidate.tsv	64223e7846fc3cc8228a076b0f3e069742f58afe	145810	RETAINED_APPROVED_SOURCE	source_task=Task 4F-Closure;redistribution_class=MANIFEST_ONLY	Byte source for dataset_manifest_v1.0.tsv.
T4F-CANDIDATE-002	APPROVED_FREEZE_CANDIDATE	reproducibility_release/manifests/experiment_manifest_v1.0_freeze_candidate.tsv	347539ed5677dc89318772333552d5944821a355	97044	RETAINED_APPROVED_SOURCE	source_task=Task 4F-Closure;redistribution_class=MANIFEST_ONLY	Byte source for experiment_manifest_v1.0.tsv.
T4F-CANDIDATE-003	FREEZE_CANDIDATE_METADATA	reproducibility_release/manifests/manifest_v1.0_freeze_candidate_metadata.json	80b7d1905b24bf9fe7d5de9bf52f8a1e7998575c	2119	RETAINED_APPROVED_SOURCE	source_task=Task 4F-Closure;redistribution_class=METADATA_ONLY	Task 4F candidate metadata with PENDING_HUMAN_APPROVAL provenance state.
T4F-AUDIT-001	TASK4F_AUDIT	visualizations/manuscript_audits/manifest_reconciliation_and_freeze_candidate/README.md	da83cf1f0238178d1ff3fe89406782a068dcfa20	2140	INCLUDED	source_task=Task 4F-Closure;redistribution_class=DOCUMENTATION_ONLY	Task 4F audit scope and freeze-candidate decision.
T4F-AUDIT-002	TASK4F_AUDIT	visualizations/manuscript_audits/manifest_reconciliation_and_freeze_candidate/manuscript_manifest_reconciliation.tsv	49d8f04e3e68fa2aefd027c9c87fce784bdf8ded	73381	INCLUDED	source_task=Task 4F-Closure;redistribution_class=AUDIT_DERIVATIVE_ONLY	Manuscript-to-manifest reconciliation ledger.
T4F-AUDIT-003	TASK4F_AUDIT	visualizations/manuscript_audits/manifest_reconciliation_and_freeze_candidate/candidate_change_log.tsv	b3d3b2d9140fb620cad630e649f5bc9d28b2ccc0	709415	INCLUDED	source_task=Task 4F-Closure;redistribution_class=AUDIT_DERIVATIVE_ONLY	Field-level v0.2 to v1.0 candidate change log.
T4F-AUDIT-004	TASK4F_AUDIT	visualizations/manuscript_audits/manifest_reconciliation_and_freeze_candidate/audit_summary.json	7ad10762c19fec26d459b274b05fc748bef3a721	3017	INCLUDED	source_task=Task 4F-Closure;redistribution_class=METADATA_ONLY	Machine-readable Task 4F audit summary.
T4F-AUDIT-005	TASK4F_AUDIT	visualizations/manuscript_audits/manifest_reconciliation_and_freeze_candidate/final_decision.md	86fd5392b7a1b284f122ec0a40b3710fe4a1b129	1887	INCLUDED	source_task=Task 4F-Closure;redistribution_class=DOCUMENTATION_ONLY	Task 4F freeze-review decision.
