experiment_id	dataset_family	figure_panel	manuscript_result_section	spatial_input_record_id	reference_input_record_id	evaluation_resource_record_id	profile_mask_target	reference_dropout_target	project_derivative	formal_status	status_basis	unresolved_issue_id	notes	experiment_record_id	dataset_record_id	experiment_family	formal_experiment_name	internal_experiment_id	spatial_input_record	reference_input_record	reference_condition	decoy_population	stage3a_enabled	stage3b_enabled	stage4_enabled	mapping_backend	mapping_capacity	shared_gene_rule	random_seed	formal_config_path	formal_config_sha1	formal_input_paths	formal_input_sha1s	formal_output_paths	formal_output_sha1s	source_value_paths	source_value_sha1s	redistribution_class	provenance_status	evidence_paths	candidate_status
cytospace_fig2d_tme_brca_tnbc_fresh_frozen_sc_missing_plasma_cells	real reference dropout	Fig. 4F-G/I	Real reference dropout	RD03_TNBC_PLASMA	RD03_TNBC_PLASMA			Plasma cells	project-generated reference-dropout copy	CONFIRMED	Inherited from Task 4A experiment crosswalk; unresolved/partial records retained.	U009		cytospace_fig2d_tme_brca_tnbc_fresh_frozen_sc_missing_plasma_cells	RD03_TNBC_PLASMA	real reference dropout	Real reference dropout: cytospace_fig2d_tme_brca_tnbc_fresh_frozen_sc_missing_plasma_cells	cytospace_fig2d_tme_brca_tnbc_fresh_frozen_sc_missing_plasma_cells	RD03_TNBC_PLASMA	RD03_TNBC_PLASMA	reference dropout: Plasma cells		NOT_RECORDED	true	NOT_RECORDED	NOT_RECORDED	NOT_RECORDED	min_cells_sc=0;min_cells_st=0	42	configs/datasets/cytospace_fig2d_tme_brca_tnbc_fresh_frozen_sc_missing_plasma_cells.yaml	4bc27a6e59f3b9e659a51113ceac8106206824c0	data/processed/cytospace_fig2d_tme/cytospace_fig2d_tme_brca_tnbc_fresh_frozen/stage1_preprocess/exported/st_expression_normalized.csv;data/processed/cytospace_fig2d_tme/cytospace_fig2d_tme_brca_tnbc_fresh_frozen/stage1_preprocess/exported/sc_expression_normalized.csv	data/processed/cytospace_fig2d_tme/cytospace_fig2d_tme_brca_tnbc_fresh_frozen/stage1_preprocess/exported/st_expression_normalized.csv=a37d55e3de3bc39d07c55519dca2e29a0f7690cc;data/processed/cytospace_fig2d_tme/cytospace_fig2d_tme_brca_tnbc_fresh_frozen/stage1_preprocess/exported/sc_expression_normalized.csv=56c6ad2a466932866f02f0585a09fcdb85f50ca7	result/stage3b_realdata_reference_dropout/cytospace_fig2d_tme_brca_tnbc_fresh_frozen_sc_missing_plasma_cells/stage3b_st_unsupported/stage3b_summary.json	result/stage3b_realdata_reference_dropout/cytospace_fig2d_tme_brca_tnbc_fresh_frozen_sc_missing_plasma_cells/stage3b_st_unsupported/stage3b_summary.json=22e31a827a5fa9371d671c80bdd6df6f7d2e775b			REDISTRIBUTABLE_DERIVATIVE_ONLY	CONFIRMED	visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/experiment_manifest_draft_v0_2.tsv;visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/minor_spatial_metadata_audit.tsv;configs/datasets/cytospace_fig2d_tme_brca_tnbc_fresh_frozen_sc_missing_plasma_cells.yaml	PENDING_HUMAN_APPROVAL
cytospace_fig2d_tme_crc_fresh_frozen_profile_mask_monocytes_and_macrophages	downstream external tumour pairings	Fig. 2C/F	External tumour state-enrichment pairings	EXT06_CRC	EXT06_CRC	RES01_ECOTYPER	Monocytes and Macrophages			CONFIRMED	Inherited from Task 4A experiment crosswalk; unresolved/partial records retained.			cytospace_fig2d_tme_crc_fresh_frozen_profile_mask_monocytes_and_macrophages	EXT06_CRC	downstream external tumour pairings	External tumour state-enrichment pairings: cytospace_fig2d_tme_crc_fresh_frozen_profile_mask_monocytes_and_macrophages	cytospace_fig2d_tme_crc_fresh_frozen_profile_mask_monocytes_and_macrophages	EXT06_CRC	EXT06_CRC	profile masking: Monocytes and Macrophages		true	NOT_RECORDED	NOT_RECORDED	NOT_RECORDED	NOT_RECORDED	min_cells_sc=0;min_cells_st=0	NOT_RECORDED	configs/datasets/cytospace_fig2d_tme_crc_fresh_frozen_profile_mask_monocytes_and_macrophages.yaml	9ef37364ed99d82d340996e00a74f16c058bbc2f	data/processed/cytospace_fig2d_tme/cytospace_fig2d_tme_crc_fresh_frozen/stage1_preprocess/exported/st_expression_normalized.csv	data/processed/cytospace_fig2d_tme/cytospace_fig2d_tme_crc_fresh_frozen/stage1_preprocess/exported/st_expression_normalized.csv=19a8313c07e4bdbc54d53bed0458b338551fadb5	result/cytospace_fig2d_profile_mask/cytospace_fig2d_tme_crc_fresh_frozen_profile_mask_monocytes_and_macrophages/stage3_typematch/stage3_summary.json	result/cytospace_fig2d_profile_mask/cytospace_fig2d_tme_crc_fresh_frozen_profile_mask_monocytes_and_macrophages/stage3_typematch/stage3_summary.json=615971f42a225c669c92bb24baf5fe698309ff94	visualizations/cytospace_fig2d_profile_mask_benchmark/fig2d_profile_mask_benchmark_source_values.csv;result/cytospace_fig2e_stage3_profile_mask/fig2e_stage3_profile_mask_metrics.csv	visualizations/cytospace_fig2d_profile_mask_benchmark/fig2d_profile_mask_benchmark_source_values.csv=77aaf34b35dde53837b0c47b8ed313bb566a3a85;result/cytospace_fig2e_stage3_profile_mask/fig2e_stage3_profile_mask_metrics.csv=29bd3bc3fcb152ea4022ca8abe38648f206e3085	REDISTRIBUTABLE_DERIVATIVE_ONLY	CONFIRMED	visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/experiment_manifest_draft_v0_2.tsv;visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/dataset_manifest_draft_v0_2.tsv;configs/datasets/cytospace_fig2d_tme_crc_fresh_frozen_profile_mask_monocytes_and_macrophages.yaml	PENDING_HUMAN_APPROVAL
cytospace_fig2d_tme_crc_fresh_frozen_sc_missing_b_cells	real reference dropout	Fig. 4F-G/I	Real reference dropout	RD04_CRC_B	RD04_CRC_B			B cells	project-generated reference-dropout copy	CONFIRMED	Official 10x web summary confirms sample, slide V10A13-206, capture C1, chemistry, and Space Ranger version.			cytospace_fig2d_tme_crc_fresh_frozen_sc_missing_b_cells	RD04_CRC_B	real reference dropout	Real reference dropout: cytospace_fig2d_tme_crc_fresh_frozen_sc_missing_b_cells	cytospace_fig2d_tme_crc_fresh_frozen_sc_missing_b_cells	RD04_CRC_B	RD04_CRC_B	reference dropout: B cells		NOT_RECORDED	true	NOT_RECORDED	NOT_RECORDED	NOT_RECORDED	min_cells_sc=0;min_cells_st=0	42	configs/datasets/cytospace_fig2d_tme_crc_fresh_frozen_sc_missing_b_cells.yaml	4bc27a6e59f3b9e659a51113ceac8106206824c0	data/processed/cytospace_fig2d_tme/cytospace_fig2d_tme_crc_fresh_frozen/stage1_preprocess/exported/st_expression_normalized.csv;data/processed/cytospace_fig2d_tme/cytospace_fig2d_tme_crc_fresh_frozen/stage1_preprocess/exported/sc_expression_normalized.csv	data/processed/cytospace_fig2d_tme/cytospace_fig2d_tme_crc_fresh_frozen/stage1_preprocess/exported/st_expression_normalized.csv=19a8313c07e4bdbc54d53bed0458b338551fadb5;data/processed/cytospace_fig2d_tme/cytospace_fig2d_tme_crc_fresh_frozen/stage1_preprocess/exported/sc_expression_normalized.csv=a6c8f5c2ea620f72d8e51d8377a8f03a86e25482	result/stage3b_realdata_reference_dropout/cytospace_fig2d_tme_crc_fresh_frozen_sc_missing_b_cells/stage3b_st_unsupported/stage3b_summary.json	result/stage3b_realdata_reference_dropout/cytospace_fig2d_tme_crc_fresh_frozen_sc_missing_b_cells/stage3b_st_unsupported/stage3b_summary.json=482ecbf17f8ce0766001917816314b1ad17388ac			REDISTRIBUTABLE_DERIVATIVE_ONLY	CONFIRMED	visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/experiment_manifest_draft_v0_2.tsv;visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/minor_spatial_metadata_audit.tsv;configs/datasets/cytospace_fig2d_tme_crc_fresh_frozen_sc_missing_b_cells.yaml	PENDING_HUMAN_APPROVAL
cytospace_fig2i_mouse_kidney_stage3_unsupported_decoy_n1000	state-decoy experiments	Fig. 3F	Kidney State32 decoy experiment	STATE02_KIDNEY_STATE32	STATE02_KIDNEY_STATE32	RES03_CYTOSPACE_SUPP_ORDERING			1,000 State32-like decoys	PROJECT_GENERATED	Inherited from Task 4A experiment crosswalk; unresolved/partial records retained.			cytospace_fig2i_mouse_kidney_stage3_unsupported_decoy_n1000	STATE02_KIDNEY_STATE32	state-decoy experiments	Kidney State32 decoy experiment: cytospace_fig2i_mouse_kidney_stage3_unsupported_decoy_n1000	cytospace_fig2i_mouse_kidney_stage3_unsupported_decoy_n1000	STATE02_KIDNEY_STATE32	STATE02_KIDNEY_STATE32	1,000 State32-like decoys	1,000 State32-like decoys	true	NOT_RECORDED	true	CytoSPACE	NOT_RECORDED	min_cells_sc=0;min_cells_st=0	NOT_RECORDED	configs/datasets/cytospace_fig2i_mouse_kidney_stage3_unsupported_decoy_n1000.yaml	d2387bda76c6af7bd33ff46e47cc0bcec9761a93	data/raw/cytospace_fig2i_mouse_kidney_strict/kidneycellexplorer-master/data/expr_data.rds;data/processed/cytospace_fig2i_mouse_kidney_stage3_unsupported_decoy_n1000/stage1_preprocess/exported/st_expression_normalized.csv	data/raw/cytospace_fig2i_mouse_kidney_strict/kidneycellexplorer-master/data/expr_data.rds=61896c0c9108597b49b16c54d36c03616828426f;data/processed/cytospace_fig2i_mouse_kidney_stage3_unsupported_decoy_n1000/stage1_preprocess/exported/st_expression_normalized.csv=35bb19f531b2d61a8046275eb478f1f4799b5af1	result/cytospace_fig2i_mouse_kidney_stage3_unsupported_decoy_n1000/stage3_typematch/stage3_summary.json;result/cytospace_fig2i_mouse_kidney_stage3_unsupported_decoy_n1000/stage4_cytospace_route2/cytospace_output/stage4_summary.json	result/cytospace_fig2i_mouse_kidney_stage3_unsupported_decoy_n1000/stage3_typematch/stage3_summary.json=a8bc2aef0a69b735f80dcac4dec3831888280631;result/cytospace_fig2i_mouse_kidney_stage3_unsupported_decoy_n1000/stage4_cytospace_route2/cytospace_output/stage4_summary.json=fbaa12c3fe48096b92b5effe2efbfd3c6b856aab			REDISTRIBUTABLE_DERIVATIVE_ONLY	PROJECT_GENERATED	visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/experiment_manifest_draft_v0_2.tsv;visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/dataset_manifest_draft_v0_2.tsv;configs/datasets/cytospace_fig2i_mouse_kidney_stage3_unsupported_decoy_n1000.yaml	PENDING_HUMAN_APPROVAL
cytospace_fig2k_breast_state_decoy_stage3_detected	state-decoy experiments	Fig. 3E	T-cell state-decoy experiment	STATE01_TCELL_DECOY	STATE01_TCELL_DECOY	RES03_CYTOSPACE_SUPP_ORDERING			engineered T-cell-state decoy	PROJECT_GENERATED	Inherited from Task 4A experiment crosswalk; unresolved/partial records retained.			cytospace_fig2k_breast_state_decoy_stage3_detected	STATE01_TCELL_DECOY	state-decoy experiments	T-cell state-decoy experiment: cytospace_fig2k_breast_state_decoy_stage3_detected	cytospace_fig2k_breast_state_decoy_stage3_detected	STATE01_TCELL_DECOY	STATE01_TCELL_DECOY	engineered T-cell-state decoy	engineered T-cell-state decoy	true	NOT_RECORDED	true	CytoSPACE	NOT_RECORDED	min_cells_sc=0;min_cells_st=0	NOT_RECORDED	configs/datasets/cytospace_fig2k_breast_state_decoy_stage3_detected.yaml	6f92f3195dd68213a39a7c62f857a6ae566e7154	data/raw/high/HumanBreastCancerPatient1/HumanBreastCancerPatient1_cell_by_gene.csv	data/raw/high/HumanBreastCancerPatient1/HumanBreastCancerPatient1_cell_by_gene.csv=a29c0db89e207ac8a81ec53f422219e40ddbbdc5	result/cytospace_fig2k_breast_state_decoy_stage3_detected/stage3_typematch/stage3_summary.json;result/cytospace_fig2k_breast_state_decoy_stage3_detected/stage4_cytospace_route2/cytospace_output/stage4_summary.json	result/cytospace_fig2k_breast_state_decoy_stage3_detected/stage3_typematch/stage3_summary.json=97e4cda0888124614af420005167cb09816817f0;result/cytospace_fig2k_breast_state_decoy_stage3_detected/stage4_cytospace_route2/cytospace_output/stage4_summary.json=50f02841bd07b0cbc71741b06ce869c7fa5379d4			REDISTRIBUTABLE_DERIVATIVE_ONLY	PROJECT_GENERATED	visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/experiment_manifest_draft_v0_2.tsv;visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/dataset_manifest_draft_v0_2.tsv;configs/datasets/cytospace_fig2k_breast_state_decoy_stage3_detected.yaml	PENDING_HUMAN_APPROVAL
ffpe_mouse_brain_sagittal_real_profile_mask_microglia	low-resolution profile masking	Fig. 2A-B/E	Low-resolution profile masking	LR02_BRAIN	LR02_BRAIN		Microglia		project-generated masked profile	CONFIRMED	Inherited from Task 4A experiment crosswalk; unresolved/partial records retained.			ffpe_mouse_brain_sagittal_real_profile_mask_microglia	LR02_BRAIN	low-resolution profile masking	Low-resolution profile masking: ffpe_mouse_brain_sagittal_real_profile_mask_microglia	ffpe_mouse_brain_sagittal_real_profile_mask_microglia	LR02_BRAIN	LR02_BRAIN	profile masking: Microglia		true	NOT_RECORDED	NOT_RECORDED	NOT_RECORDED	NOT_RECORDED	min_cells_sc=0;min_cells_st=0	NOT_RECORDED	configs/datasets/ffpe_mouse_brain_sagittal_real_profile_mask_microglia.yaml	71560aeb3371fdc4866e95e6194e56e9b6cd27f3	data/raw/low_resolution/FFPE Mouse Brain Sagittal/CytAssist_FFPE_Sagittal_Mouse_Brain_filtered_feature_bc_matrix.h5;data/raw/low_resolution/FFPE Mouse Brain Sagittal/sc.h5ad	data/raw/low_resolution/FFPE Mouse Brain Sagittal/CytAssist_FFPE_Sagittal_Mouse_Brain_filtered_feature_bc_matrix.h5=81c7c44527a94788a0c84f4716865d8550c15a6d;data/raw/low_resolution/FFPE Mouse Brain Sagittal/sc.h5ad=da360a9e18b8bc94d54daf75085b2c03e3f0579f	result/low_resolution_experiments/ffpe_mouse_brain_sagittal_real_profile_mask_microglia/stage1_preprocess/stage1_summary.json;result/low_resolution_experiments/ffpe_mouse_brain_sagittal_real_profile_mask_microglia/stage3_typematch/stage3_summary.json	result/low_resolution_experiments/ffpe_mouse_brain_sagittal_real_profile_mask_microglia/stage1_preprocess/stage1_summary.json=0b42b447fee75333f4eeca5175f93d27462fc8c7;result/low_resolution_experiments/ffpe_mouse_brain_sagittal_real_profile_mask_microglia/stage3_typematch/stage3_summary.json=d3336a06be9d3fd18b1f064ad2daee5d8f272604	result/real_profile_mask_foundation/ffpe_mouse_brain_sagittal_real_profile_mask_microglia/spot_foundation.csv	result/real_profile_mask_foundation/ffpe_mouse_brain_sagittal_real_profile_mask_microglia/spot_foundation.csv=2118d5d5022c3f4031de5f1e0ba6e3f367521f43	REDISTRIBUTABLE_DERIVATIVE_ONLY	CONFIRMED	visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/experiment_manifest_draft_v0_2.tsv;visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/dataset_manifest_draft_v0_2.tsv;configs/datasets/ffpe_mouse_brain_sagittal_real_profile_mask_microglia.yaml	PENDING_HUMAN_APPROVAL
highres_humanbreastcancerpatient1_profile_mask_monocytes_and_macrophages	high-resolution MERSCOPE profile masking	Fig. 3A-D	High-resolution profile masking	MERS01_BREAST	MERS01_BREAST	RES01_ECOTYPER	Monocytes and Macrophages		project-generated disjoint same-assay reference split	PARTIAL	Exact provider sample and local input are confirmed; provider checksum/download receipt and redistribution status remain partial.	U007		highres_humanbreastcancerpatient1_profile_mask_monocytes_and_macrophages	MERS01_BREAST	high-resolution MERSCOPE profile masking	High-resolution profile masking: highres_humanbreastcancerpatient1_profile_mask_monocytes_and_macrophages	highres_humanbreastcancerpatient1_profile_mask_monocytes_and_macrophages	MERS01_BREAST	MERS01_BREAST	profile masking: Monocytes and Macrophages		true	NOT_RECORDED	true	CytoSPACE	NOT_RECORDED	min_cells_sc=0;min_cells_st=0	NOT_RECORDED	configs/datasets/highres_humanbreastcancerpatient1_profile_mask_monocytes_and_macrophages.yaml	aef4283fefbff6f144ba888436a69eb4967c020e	data/raw/high/HumanBreastCancerPatient1/HumanBreastCancerPatient1_cell_by_gene.csv;data/raw/high/HumanBreastCancerPatient1/HumanBreastCancerPatient1_cell_metadata.csv	data/raw/high/HumanBreastCancerPatient1/HumanBreastCancerPatient1_cell_by_gene.csv=a29c0db89e207ac8a81ec53f422219e40ddbbdc5;data/raw/high/HumanBreastCancerPatient1/HumanBreastCancerPatient1_cell_metadata.csv=07f13f687f466f8272617d0bda40b52822a9343e	result/highres_humanbreastcancerpatient1_profile_mask_monocytes_and_macrophages/stage3_typematch/stage3_summary.json;result/highres_humanbreastcancerpatient1_profile_mask_monocytes_and_macrophages/stage4_cytospace_route2_highres/cytospace_output/stage4_summary.json	result/highres_humanbreastcancerpatient1_profile_mask_monocytes_and_macrophages/stage3_typematch/stage3_summary.json=9ce5f35690c0d550caae23520d4dfe7b24602855;result/highres_humanbreastcancerpatient1_profile_mask_monocytes_and_macrophages/stage4_cytospace_route2_highres/cytospace_output/stage4_summary.json=1db4b7fd42002183f137813d7a69defb3fdae459			REDISTRIBUTABLE_DERIVATIVE_ONLY	PARTIAL	visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/experiment_manifest_draft_v0_2.tsv;visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/vizgen_release_evidence.tsv;configs/datasets/highres_humanbreastcancerpatient1_profile_mask_monocytes_and_macrophages.yaml	PENDING_HUMAN_APPROVAL
highres_humancoloncancerpatient1_profile_mask_fibroblasts	high-resolution MERSCOPE profile masking	Fig. 3A-D	High-resolution profile masking	MERS02_COLON	MERS02_COLON	RES01_ECOTYPER	Fibroblasts		project-generated disjoint same-assay reference split	PARTIAL	Exact provider sample and local input are confirmed; provider checksum/download receipt and redistribution status remain partial.	U007		highres_humancoloncancerpatient1_profile_mask_fibroblasts	MERS02_COLON	high-resolution MERSCOPE profile masking	High-resolution profile masking: highres_humancoloncancerpatient1_profile_mask_fibroblasts	highres_humancoloncancerpatient1_profile_mask_fibroblasts	MERS02_COLON	MERS02_COLON	profile masking: Fibroblasts		true	NOT_RECORDED	true	CytoSPACE	NOT_RECORDED	min_cells_sc=0;min_cells_st=0	NOT_RECORDED	configs/datasets/highres_humancoloncancerpatient1_profile_mask_fibroblasts.yaml	a592c6bc48e7b122db42254c3980fe098dfe5bc5	data/raw/high/HumanColonCancerPatient1/HumanColonCancerPatient1_cell_by_gene.csv;data/raw/high/HumanColonCancerPatient1/HumanColonCancerPatient1_cell_metadata.csv	data/raw/high/HumanColonCancerPatient1/HumanColonCancerPatient1_cell_by_gene.csv=b92cd8c0d52aebd9b94c1d546e2925954d90cca8;data/raw/high/HumanColonCancerPatient1/HumanColonCancerPatient1_cell_metadata.csv=9478341296bb8e19aff017daf3c71667dae410b8	result/highres_humancoloncancerpatient1_profile_mask_fibroblasts/stage3_typematch/stage3_summary.json;result/highres_humancoloncancerpatient1_profile_mask_fibroblasts/stage4_cytospace_route2_highres/cytospace_output/stage4_summary.json	result/highres_humancoloncancerpatient1_profile_mask_fibroblasts/stage3_typematch/stage3_summary.json=d1987e5d06eb16e4fce20b8b71e3e60b23feed5e;result/highres_humancoloncancerpatient1_profile_mask_fibroblasts/stage4_cytospace_route2_highres/cytospace_output/stage4_summary.json=3805fc877de3ef0096862fbf0daf80357d73172c			REDISTRIBUTABLE_DERIVATIVE_ONLY	PARTIAL	visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/experiment_manifest_draft_v0_2.tsv;visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/vizgen_release_evidence.tsv;configs/datasets/highres_humancoloncancerpatient1_profile_mask_fibroblasts.yaml	PENDING_HUMAN_APPROVAL
highres_humanlungcancerpatient1_profile_mask_plasma_cells	high-resolution MERSCOPE profile masking	Fig. 3A-D	High-resolution profile masking	MERS03_LUNG	MERS03_LUNG	RES01_ECOTYPER	Plasma cells		project-generated disjoint same-assay reference split	PARTIAL	Exact provider sample and local input are confirmed; provider checksum/download receipt and redistribution status remain partial.	U007		highres_humanlungcancerpatient1_profile_mask_plasma_cells	MERS03_LUNG	high-resolution MERSCOPE profile masking	High-resolution profile masking: highres_humanlungcancerpatient1_profile_mask_plasma_cells	highres_humanlungcancerpatient1_profile_mask_plasma_cells	MERS03_LUNG	MERS03_LUNG	profile masking: Plasma cells		true	NOT_RECORDED	true	CytoSPACE	NOT_RECORDED	min_cells_sc=0;min_cells_st=0	NOT_RECORDED	configs/datasets/highres_humanlungcancerpatient1_profile_mask_plasma_cells.yaml	f5f8ee5b15d0fd7146b33bcac11e57660d1cecca	data/raw/high/HumanLungCancerPatient1/HumanLungCancerPatient1_cell_by_gene.csv;data/raw/high/HumanLungCancerPatient1/HumanLungCancerPatient1_cell_metadata.csv	data/raw/high/HumanLungCancerPatient1/HumanLungCancerPatient1_cell_by_gene.csv=feb56174d264b7c13b994a456e000351f1ef605d;data/raw/high/HumanLungCancerPatient1/HumanLungCancerPatient1_cell_metadata.csv=8dd389505da02a16360df4cf6f0dad7a655c826e	result/highres_humanlungcancerpatient1_profile_mask_plasma_cells/stage3_typematch/stage3_summary.json;result/highres_humanlungcancerpatient1_profile_mask_plasma_cells/stage4_cytospace_route2_highres/cytospace_output/stage4_summary.json	result/highres_humanlungcancerpatient1_profile_mask_plasma_cells/stage3_typematch/stage3_summary.json=1d16bd28c831f77ddad8a918c2a94cc02f6fc27e;result/highres_humanlungcancerpatient1_profile_mask_plasma_cells/stage4_cytospace_route2_highres/cytospace_output/stage4_summary.json=76aa9da2b5ae0968a6b37ffa66298828bed51dbd			REDISTRIBUTABLE_DERIVATIVE_ONLY	PARTIAL	visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/experiment_manifest_draft_v0_2.tsv;visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/vizgen_release_evidence.tsv;configs/datasets/highres_humanlungcancerpatient1_profile_mask_plasma_cells.yaml	PENDING_HUMAN_APPROVAL
highres_humanmelanomapatient1_profile_mask_fibroblasts	high-resolution MERSCOPE profile masking	Fig. 3A-D	High-resolution profile masking	MERS04_MELANOMA1	MERS04_MELANOMA1	RES01_ECOTYPER	Fibroblasts		project-generated disjoint same-assay reference split	PARTIAL	Exact provider sample and local input are confirmed; provider checksum/download receipt and redistribution status remain partial.	U007		highres_humanmelanomapatient1_profile_mask_fibroblasts	MERS04_MELANOMA1	high-resolution MERSCOPE profile masking	High-resolution profile masking: highres_humanmelanomapatient1_profile_mask_fibroblasts	highres_humanmelanomapatient1_profile_mask_fibroblasts	MERS04_MELANOMA1	MERS04_MELANOMA1	profile masking: Fibroblasts		true	NOT_RECORDED	true	CytoSPACE	NOT_RECORDED	min_cells_sc=0;min_cells_st=0	NOT_RECORDED	configs/datasets/highres_humanmelanomapatient1_profile_mask_fibroblasts.yaml	40c2a7c3b168243381d7a81cd0b47afd6797bfe7	data/raw/high/HumanMelanomaPatient1/HumanMelanomaPatient1_cell_by_gene.csv;data/raw/high/HumanMelanomaPatient1/HumanMelanomaPatient1_cell_metadata.csv	data/raw/high/HumanMelanomaPatient1/HumanMelanomaPatient1_cell_by_gene.csv=f2f8fc257a95790bc780cf336b8a8b4870b097d1;data/raw/high/HumanMelanomaPatient1/HumanMelanomaPatient1_cell_metadata.csv=84413ebd8cd5328e904e807a15c3b5fd84ab2a34	result/highres_humanmelanomapatient1_profile_mask_fibroblasts/stage3_typematch/stage3_summary.json;result/highres_humanmelanomapatient1_profile_mask_fibroblasts/stage4_cytospace_route2_highres/cytospace_output/stage4_summary.json	result/highres_humanmelanomapatient1_profile_mask_fibroblasts/stage3_typematch/stage3_summary.json=6911cfbad25ab4c40c7440b14bc680134d42a2c2;result/highres_humanmelanomapatient1_profile_mask_fibroblasts/stage4_cytospace_route2_highres/cytospace_output/stage4_summary.json=6d8debc710b77d33448cae7a31bf2b306330109a			REDISTRIBUTABLE_DERIVATIVE_ONLY	PARTIAL	visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/experiment_manifest_draft_v0_2.tsv;visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/vizgen_release_evidence.tsv;configs/datasets/highres_humanmelanomapatient1_profile_mask_fibroblasts.yaml	PENDING_HUMAN_APPROVAL
highres_humanmelanomapatient2_profile_mask_b_cells	high-resolution MERSCOPE profile masking	Fig. 3A-D	High-resolution profile masking	MERS05_MELANOMA2	MERS05_MELANOMA2	RES01_ECOTYPER	B cells		project-generated disjoint same-assay reference split	PARTIAL	Exact provider sample and local input are confirmed; provider checksum/download receipt and redistribution status remain partial.	U007		highres_humanmelanomapatient2_profile_mask_b_cells	MERS05_MELANOMA2	high-resolution MERSCOPE profile masking	High-resolution profile masking: highres_humanmelanomapatient2_profile_mask_b_cells	highres_humanmelanomapatient2_profile_mask_b_cells	MERS05_MELANOMA2	MERS05_MELANOMA2	profile masking: B cells		true	NOT_RECORDED	true	CytoSPACE	NOT_RECORDED	min_cells_sc=0;min_cells_st=0	NOT_RECORDED	configs/datasets/highres_humanmelanomapatient2_profile_mask_b_cells.yaml	929d3972ffa4fb9411b67312f0ebdd81c8887995	data/raw/high/HumanMelanomaPatient2/HumanMelanomaPatient2_cell_by_gene.csv;data/raw/high/HumanMelanomaPatient2/HumanMelanomaPatient2_cell_metadata.csv	data/raw/high/HumanMelanomaPatient2/HumanMelanomaPatient2_cell_by_gene.csv=a89d0e14a35e5403ce5eda4b92f935001f4004d0;data/raw/high/HumanMelanomaPatient2/HumanMelanomaPatient2_cell_metadata.csv=ce0ea9ba1fcf0a7239c364c5ac73ab2ffe1b6f31	result/highres_humanmelanomapatient2_profile_mask_b_cells/stage3_typematch/stage3_summary.json;result/highres_humanmelanomapatient2_profile_mask_b_cells/stage4_cytospace_route2_highres/cytospace_output/stage4_summary.json	result/highres_humanmelanomapatient2_profile_mask_b_cells/stage3_typematch/stage3_summary.json=d297ff6c227957260b92dee623b9535515e62616;result/highres_humanmelanomapatient2_profile_mask_b_cells/stage4_cytospace_route2_highres/cytospace_output/stage4_summary.json=74eecb416ecc55aa9995db992a04eb41d4c39e46			REDISTRIBUTABLE_DERIVATIVE_ONLY	PARTIAL	visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/experiment_manifest_draft_v0_2.tsv;visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/vizgen_release_evidence.tsv;configs/datasets/highres_humanmelanomapatient2_profile_mask_b_cells.yaml	PENDING_HUMAN_APPROVAL
