record_id	configuration_path	classification	included_in_candidate	candidate_path	sha1	byte_size	linked_figure_or_analysis	evidence	notes
CFG-0019	configs/datasets/cytospace_fig2d_tme_crc_fresh_frozen.yaml	SUPPORTING	true	reproducibility_release/release_candidate_v1.0/configs/configs/datasets/cytospace_fig2d_tme_crc_fresh_frozen.yaml	330fb7ed907c73aa5b27b2c1c7f1714268ccaace	879	supporting/legacy review	Task 4H classification	Base configuration supporting a formal derived scenario.
CFG-0020	configs/datasets/cytospace_fig2d_tme_crc_fresh_frozen_profile_mask_monocytes_and_macrophages.yaml	FORMAL	true	reproducibility_release/release_candidate_v1.0/configs/configs/datasets/cytospace_fig2d_tme_crc_fresh_frozen_profile_mask_monocytes_and_macrophages.yaml	9ef37364ed99d82d340996e00a74f16c058bbc2f	1978	Fig. 2C/F	frozen experiment manifest	Direct formal configuration or formal scenario configuration.
CFG-0021	configs/datasets/cytospace_fig2d_tme_crc_fresh_frozen_sc_missing_b_cells.yaml	FORMAL	true	reproducibility_release/release_candidate_v1.0/configs/configs/datasets/cytospace_fig2d_tme_crc_fresh_frozen_sc_missing_b_cells.yaml	4bc27a6e59f3b9e659a51113ceac8106206824c0	651	Fig. 4F-G/I	frozen experiment manifest	Direct formal configuration or formal scenario configuration.
CFG-0022	configs/datasets/cytospace_fig2i_mouse_kidney_stage3_unsupported_decoy_n1000.yaml	FORMAL	true	reproducibility_release/release_candidate_v1.0/configs/configs/datasets/cytospace_fig2i_mouse_kidney_stage3_unsupported_decoy_n1000.yaml	d2387bda76c6af7bd33ff46e47cc0bcec9761a93	1197	Fig. 3F	frozen experiment manifest	Direct formal configuration or formal scenario configuration.
CFG-0023	configs/datasets/cytospace_fig2j_merscope_50k_stage4.yaml	UNRESOLVED	false		e8af44938e69e8e3b3a3ce50139c51040fd550d4	516	supporting/legacy review	Task 4H classification	No frozen-manifest or formal-panel evidence establishes current formal use.
CFG-0024	configs/datasets/cytospace_fig2j_merscope_batch_000.yaml	LEGACY_NOT_USED	false		d424aa1a56898517f6ebebbf6ca0a1abe3a4ab1c	515	supporting/legacy review	Task 4H classification	Not part of the frozen Fig. 1-5 formal experiment set.
CFG-0025	configs/datasets/cytospace_fig2j_merscope_batch_001.yaml	LEGACY_NOT_USED	false		038a3952c095c45f24aa7ab1302ecbab07da958b	515	supporting/legacy review	Task 4H classification	Not part of the frozen Fig. 1-5 formal experiment set.
CFG-0026	configs/datasets/cytospace_fig2j_merscope_batch_002.yaml	LEGACY_NOT_USED	false		1e8cf8e52505d6f4be0327796b8ac7366b6f7347	515	supporting/legacy review	Task 4H classification	Not part of the frozen Fig. 1-5 formal experiment set.
CFG-0027	configs/datasets/cytospace_fig2j_merscope_batch_003.yaml	LEGACY_NOT_USED	false		b08d54003ba8b1323703518bd0b1138826ad911a	515	supporting/legacy review	Task 4H classification	Not part of the frozen Fig. 1-5 formal experiment set.
CFG-0028	configs/datasets/cytospace_fig2j_merscope_batch_004.yaml	LEGACY_NOT_USED	false		df4da7ae087c4872668509c9a0fb201e051be400	515	supporting/legacy review	Task 4H classification	Not part of the frozen Fig. 1-5 formal experiment set.
CFG-0029	configs/datasets/cytospace_fig2j_merscope_batch_005.yaml	LEGACY_NOT_USED	false		f3a1422b126fc82d64321a9f9ea5b15223784d86	515	supporting/legacy review	Task 4H classification	Not part of the frozen Fig. 1-5 formal experiment set.
CFG-0030	configs/datasets/cytospace_fig2j_merscope_batch_006.yaml	LEGACY_NOT_USED	false		753693cbe21be41fcd8bdea9e2b944c5c86c3b3c	515	supporting/legacy review	Task 4H classification	Not part of the frozen Fig. 1-5 formal experiment set.
CFG-0031	configs/datasets/cytospace_fig2j_merscope_batch_007.yaml	LEGACY_NOT_USED	false		846ecde94411b08688ce0b3ce6b1c0cd38dc1aff	515	supporting/legacy review	Task 4H classification	Not part of the frozen Fig. 1-5 formal experiment set.
CFG-0032	configs/datasets/cytospace_fig2j_merscope_batch_008.yaml	LEGACY_NOT_USED	false		3f7fd3126d4d0ce3975ac6c76ab9e0d5fdb4c2b0	515	supporting/legacy review	Task 4H classification	Not part of the frozen Fig. 1-5 formal experiment set.
CFG-0033	configs/datasets/cytospace_fig2j_merscope_batch_009.yaml	LEGACY_NOT_USED	false		5d72640ac2ea43fbbe80f9907895e12fb15e13ff	515	supporting/legacy review	Task 4H classification	Not part of the frozen Fig. 1-5 formal experiment set.
CFG-0034	configs/datasets/cytospace_fig2j_merscope_batch_010.yaml	LEGACY_NOT_USED	false		c740329a7206b5b19f032d882d65892c3d96520c	515	supporting/legacy review	Task 4H classification	Not part of the frozen Fig. 1-5 formal experiment set.
CFG-0035	configs/datasets/cytospace_fig2j_merscope_batch_011.yaml	LEGACY_NOT_USED	false		e32ef63fa325e1c4a60baebe4834ead80ec51bbb	515	supporting/legacy review	Task 4H classification	Not part of the frozen Fig. 1-5 formal experiment set.
CFG-0036	configs/datasets/cytospace_fig2j_merscope_smoke_stage4.yaml	LEGACY_NOT_USED	false		7f7dff0e2fdd80a7bb6b47932a792d9ea61693e4	518	supporting/legacy review	Task 4H classification	Not part of the frozen Fig. 1-5 formal experiment set.
CFG-0037	configs/datasets/cytospace_fig2j_stage3a_probe.yaml	LEGACY_NOT_USED	false		83880206a8ab4808fd3693592862daf003001e92	1926	supporting/legacy review	Task 4H classification	Not part of the frozen Fig. 1-5 formal experiment set.
CFG-0038	configs/datasets/cytospace_fig2j_stage3ab_joint.yaml	UNRESOLVED	false		476b118341ea2171dd240370b8d01088fabcefce	1927	supporting/legacy review	Task 4H classification	No frozen-manifest or formal-panel evidence establishes current formal use.
CFG-0039	configs/datasets/cytospace_fig2j_stage3ab_joint_detect.yaml	UNRESOLVED	false		f80ceece1ec59d5c5c672b7271b8ffa65163bc65	1934	supporting/legacy review	Task 4H classification	No frozen-manifest or formal-panel evidence establishes current formal use.
CFG-0040	configs/datasets/cytospace_fig2j_stage3b_epithelial_dropout.yaml	UNRESOLVED	false		db4c4f3e91fc19396d6c0ba2c01ddb15d77044aa	1939	supporting/legacy review	Task 4H classification	No frozen-manifest or formal-panel evidence establishes current formal use.
CFG-0041	configs/datasets/cytospace_fig2k_breast_state_decoy_stage3_detected.yaml	FORMAL	true	reproducibility_release/release_candidate_v1.0/configs/configs/datasets/cytospace_fig2k_breast_state_decoy_stage3_detected.yaml	6f92f3195dd68213a39a7c62f857a6ae566e7154	1188	Fig. 3E	frozen experiment manifest	Direct formal configuration or formal scenario configuration.
CFG-0042	configs/datasets/ffpe_mouse_brain_sagittal_real.yaml	SUPPORTING	true	reproducibility_release/release_candidate_v1.0/configs/configs/datasets/ffpe_mouse_brain_sagittal_real.yaml	e09f59901fd56064a204b97a85a90053cbe5ed7a	1999	supporting/legacy review	Task 4H classification	Base configuration supporting a formal derived scenario.
CFG-0043	configs/datasets/ffpe_mouse_brain_sagittal_real_profile_mask_microglia.yaml	FORMAL	true	reproducibility_release/release_candidate_v1.0/configs/configs/datasets/ffpe_mouse_brain_sagittal_real_profile_mask_microglia.yaml	71560aeb3371fdc4866e95e6194e56e9b6cd27f3	2021	Fig. 2A-B/E	frozen experiment manifest	Direct formal configuration or formal scenario configuration.
CFG-0044	configs/datasets/highres_humanbreastcancerpatient1.yaml	SUPPORTING	true	reproducibility_release/release_candidate_v1.0/configs/configs/datasets/highres_humanbreastcancerpatient1.yaml	4fb4a0917f192d2ee19333f3cba0172f82078843	1866	supporting/legacy review	Task 4H classification	Base configuration supporting a formal derived scenario.
CFG-0045	configs/datasets/highres_humanbreastcancerpatient1_profile_mask_monocytes_and_macrophages.yaml	FORMAL	true	reproducibility_release/release_candidate_v1.0/configs/configs/datasets/highres_humanbreastcancerpatient1_profile_mask_monocytes_and_macrophages.yaml	aef4283fefbff6f144ba888436a69eb4967c020e	1905	Fig. 3A-D	frozen experiment manifest	Direct formal configuration or formal scenario configuration.
CFG-0046	configs/datasets/highres_humancoloncancerpatient1.yaml	SUPPORTING	true	reproducibility_release/release_candidate_v1.0/configs/configs/datasets/highres_humancoloncancerpatient1.yaml	aa09126e22fe1c0239b65f06ad60649b9df52208	1865	supporting/legacy review	Task 4H classification	Base configuration supporting a formal derived scenario.
CFG-0047	configs/datasets/highres_humancoloncancerpatient1_profile_mask_fibroblasts.yaml	FORMAL	true	reproducibility_release/release_candidate_v1.0/configs/configs/datasets/highres_humancoloncancerpatient1_profile_mask_fibroblasts.yaml	a592c6bc48e7b122db42254c3980fe098dfe5bc5	1890	Fig. 3A-D	frozen experiment manifest	Direct formal configuration or formal scenario configuration.
CFG-0048	configs/datasets/highres_humanlungcancerpatient1.yaml	SUPPORTING	true	reproducibility_release/release_candidate_v1.0/configs/configs/datasets/highres_humanlungcancerpatient1.yaml	8657eb311af99b98daac59e53b69e920a7281612	1864	supporting/legacy review	Task 4H classification	Base configuration supporting a formal derived scenario.
CFG-0049	configs/datasets/highres_humanlungcancerpatient1_profile_mask_plasma_cells.yaml	FORMAL	true	reproducibility_release/release_candidate_v1.0/configs/configs/datasets/highres_humanlungcancerpatient1_profile_mask_plasma_cells.yaml	f5f8ee5b15d0fd7146b33bcac11e57660d1cecca	1890	Fig. 3A-D	frozen experiment manifest	Direct formal configuration or formal scenario configuration.
CFG-0050	configs/datasets/highres_humanmelanomapatient1.yaml	SUPPORTING	true	reproducibility_release/release_candidate_v1.0/configs/configs/datasets/highres_humanmelanomapatient1.yaml	4eefbe8d9b1c1b49a3c9b4537a9e1a3e56a06f19	1862	supporting/legacy review	Task 4H classification	Base configuration supporting a formal derived scenario.
CFG-0051	configs/datasets/highres_humanmelanomapatient1_profile_mask_fibroblasts.yaml	FORMAL	true	reproducibility_release/release_candidate_v1.0/configs/configs/datasets/highres_humanmelanomapatient1_profile_mask_fibroblasts.yaml	40c2a7c3b168243381d7a81cd0b47afd6797bfe7	1887	Fig. 3A-D	frozen experiment manifest	Direct formal configuration or formal scenario configuration.
CFG-0052	configs/datasets/highres_humanmelanomapatient2.yaml	SUPPORTING	true	reproducibility_release/release_candidate_v1.0/configs/configs/datasets/highres_humanmelanomapatient2.yaml	2ee578f469c82740031130e4dd66f0bf9567751f	1862	supporting/legacy review	Task 4H classification	Base configuration supporting a formal derived scenario.
CFG-0053	configs/datasets/highres_humanmelanomapatient2_profile_mask_b_cells.yaml	FORMAL	true	reproducibility_release/release_candidate_v1.0/configs/configs/datasets/highres_humanmelanomapatient2_profile_mask_b_cells.yaml	929d3972ffa4fb9411b67312f0ebdd81c8887995	1883	Fig. 3A-D	frozen experiment manifest	Direct formal configuration or formal scenario configuration.
CFG-0054	configs/datasets/human_breast_cancer_real.yaml	SUPPORTING	true	reproducibility_release/release_candidate_v1.0/configs/configs/datasets/human_breast_cancer_real.yaml	c51a22d44373f903e52efff452bc14e64fd784fd	1993	supporting/legacy review	Task 4H classification	Base configuration supporting a formal derived scenario.
CFG-0055	configs/datasets/human_breast_cancer_real_profile_mask_basal_cell.yaml	FORMAL	true	reproducibility_release/release_candidate_v1.0/configs/configs/datasets/human_breast_cancer_real_profile_mask_basal_cell.yaml	2a87fcf2b04261c09c5bf6dd38140274e6183dc6	2017	Fig. 2A-B/E	frozen experiment manifest	Direct formal configuration or formal scenario configuration.
CFG-0056	configs/datasets/human_breast_cancer_visium_ff_wta_real.yaml	SUPPORTING	true	reproducibility_release/release_candidate_v1.0/configs/configs/datasets/human_breast_cancer_visium_ff_wta_real.yaml	21a811c4eb35fea3cc8d2bd07d59008eb7a267a8	2007	supporting/legacy review	Task 4H classification	Base configuration supporting a formal derived scenario.
CFG-0057	configs/datasets/human_breast_cancer_visium_ff_wta_real_profile_mask_macrophage.yaml	FORMAL	true	reproducibility_release/release_candidate_v1.0/configs/configs/datasets/human_breast_cancer_visium_ff_wta_real_profile_mask_macrophage.yaml	302fb62e7dc2652ca5190a5210c9cc7f06d4e281	2031	Fig. 2A-B/E	frozen experiment manifest	Direct formal configuration or formal scenario configuration.
CFG-0058	configs/datasets/human_breast_cancer_wta_120_real.yaml	SUPPORTING	true	reproducibility_release/release_candidate_v1.0/configs/configs/datasets/human_breast_cancer_wta_120_real.yaml	f8d182e50ba45b956784c7d968ce8b94b47e67a8	2001	supporting/legacy review	Task 4H classification	Base configuration supporting a formal derived scenario.
CFG-0059	configs/datasets/human_breast_cancer_wta_120_real_profile_mask_endothelial_cell.yaml	FORMAL	true	reproducibility_release/release_candidate_v1.0/configs/configs/datasets/human_breast_cancer_wta_120_real_profile_mask_endothelial_cell.yaml	cc3864a41ceb0bb47bfd39bef31a29478bcf9d61	2031	Fig. 2A-B/E	frozen experiment manifest	Direct formal configuration or formal scenario configuration.
CFG-0060	configs/datasets/human_cervical_cancer_real.yaml	SUPPORTING	true	reproducibility_release/release_candidate_v1.0/configs/configs/datasets/human_cervical_cancer_real.yaml	6b1126e11c688ac266fab57a03f3d3b0ca5373ec	1995	supporting/legacy review	Task 4H classification	Base configuration supporting a formal derived scenario.
CFG-0061	configs/datasets/human_cervical_cancer_real_profile_mask_epithelial_cell.yaml	FORMAL	true	reproducibility_release/release_candidate_v1.0/configs/configs/datasets/human_cervical_cancer_real_profile_mask_epithelial_cell.yaml	71c977dd2ea587e358411aca0900fb1f339261de	2024	Fig. 2A-B/E	frozen experiment manifest	Direct formal configuration or formal scenario configuration.
CFG-0062	configs/datasets/human_heart_ff_real.yaml	SUPPORTING	true	reproducibility_release/release_candidate_v1.0/configs/configs/datasets/human_heart_ff_real.yaml	d7643538860dcb9a8fdbc333f7f04045d62edca3	1988	supporting/legacy review	Task 4H classification	Base configuration supporting a formal derived scenario.
CFG-0063	configs/datasets/human_heart_ff_real_profile_mask_endothelial_cell.yaml	FORMAL	true	reproducibility_release/release_candidate_v1.0/configs/configs/datasets/human_heart_ff_real_profile_mask_endothelial_cell.yaml	64614f77b3cdb0a04613afbeca427206e1246a62	2018	Fig. 2A-B/E	frozen experiment manifest	Direct formal configuration or formal scenario configuration.
CFG-0064	configs/datasets/human_intestine_cancer_real.yaml	SUPPORTING	true	reproducibility_release/release_candidate_v1.0/configs/configs/datasets/human_intestine_cancer_real.yaml	4381e43aaa7e3a01148b049b0053b41d35e284a5	1996	supporting/legacy review	Task 4H classification	Base configuration supporting a formal derived scenario.
CFG-0065	configs/datasets/human_intestine_cancer_real_profile_mask_endothelial_cell.yaml	FORMAL	true	reproducibility_release/release_candidate_v1.0/configs/configs/datasets/human_intestine_cancer_real_profile_mask_endothelial_cell.yaml	d35fa8437f887bc6de1d160c95ad8c926244a3cc	2026	Fig. 2A-B/E	frozen experiment manifest	Direct formal configuration or formal scenario configuration.
CFG-0066	configs/datasets/human_lung_5loc_broad_real.yaml	UNRESOLVED	false		611a755642cd52c95b20edfd8a22d0b20220c261	1698	supporting/legacy review	Task 4H classification	No frozen-manifest or formal-panel evidence establishes current formal use.
CFG-0067	configs/datasets/human_lung_5loc_fine9_clustered_sim.yaml	SUPPORTING	true	reproducibility_release/release_candidate_v1.0/configs/configs/datasets/human_lung_5loc_fine9_clustered_sim.yaml	46aab7c5a24aef49c0da412f6c37fe8a495280e0	2035	supporting/legacy review	Task 4H classification	Base configuration supporting a formal derived scenario.
CFG-0068	configs/datasets/human_lung_5loc_fine9_clustered_sim_missing_at2.yaml	SUPPORTING	true	reproducibility_release/release_candidate_v1.0/configs/configs/datasets/human_lung_5loc_fine9_clustered_sim_missing_at2.yaml	c81a409c20fd1bc27044dda50abf6fc4c7baa341	2047	supporting/legacy review	Task 4H classification	Base configuration supporting a formal derived scenario.
CFG-0069	configs/datasets/human_lung_5loc_fine9_clustered_sim_missing_at2_fibroblast.yaml	SUPPORTING	true	reproducibility_release/release_candidate_v1.0/configs/configs/datasets/human_lung_5loc_fine9_clustered_sim_missing_at2_fibroblast.yaml	15c957add01e8a5d45e501ae7d96d2e679165080	2058	supporting/legacy review	Task 4H classification	Base configuration supporting a formal derived scenario.
CFG-0070	configs/datasets/human_lung_5loc_fine9_clustered_sim_missing_at2_fibroblast_sc_missing_b_cell.yaml	FORMAL	true	reproducibility_release/release_candidate_v1.0/configs/configs/datasets/human_lung_5loc_fine9_clustered_sim_missing_at2_fibroblast_sc_missing_b_cell.yaml	783edecfcd1a3b5b0dd14ea8ea142891f0636b29	2343	supporting/legacy review	Task 4H classification	Direct formal configuration or formal scenario configuration.
CFG-0071	configs/datasets/human_lung_5loc_fine9_clustered_sim_missing_at2_fibroblast_sc_missing_b_cell_scnoise05.yaml	UNRESOLVED	false		331b988c30214a7a796ff75cdeee62caa970485c	2353	supporting/legacy review	Task 4H classification	Not part of the frozen Fig. 1-5 formal experiment set.
CFG-0072	configs/datasets/human_lung_5loc_fine9_clustered_sim_missing_at2_fibroblast_sc_missing_b_cell_scnoise10.yaml	FORMAL	true	reproducibility_release/release_candidate_v1.0/configs/configs/datasets/human_lung_5loc_fine9_clustered_sim_missing_at2_fibroblast_sc_missing_b_cell_scnoise10.yaml	e046298a1c1d57bf31e962d72fe8631c723b1a57	2353	supporting/legacy review	Task 4H classification	Direct formal configuration or formal scenario configuration.
CFG-0073	configs/datasets/human_lung_5loc_fine9_clustered_sim_missing_at2_fibroblast_scnoise10.yaml	UNRESOLVED	false		16ab11cb5b0f68bd5d5ebc57404ce7af1645f18e	2068	supporting/legacy review	Task 4H classification	No frozen-manifest or formal-panel evidence establishes current formal use.
CFG-0074	configs/datasets/human_lung_5loc_fine9_clustered_sim_missing_at2_sc_missing_b_cell.yaml	FORMAL	true	reproducibility_release/release_candidate_v1.0/configs/configs/datasets/human_lung_5loc_fine9_clustered_sim_missing_at2_sc_missing_b_cell.yaml	a5a11e4133fdb37186af95f6f7f77393b235e4bd	2332	supporting/legacy review	Task 4H classification	Direct formal configuration or formal scenario configuration.
CFG-0075	configs/datasets/human_lung_5loc_fine9_clustered_sim_missing_at2_sc_missing_b_cell_scnoise05.yaml	UNRESOLVED	false		657339841b867752ca9598537bf9af80945c8f98	2342	supporting/legacy review	Task 4H classification	Not part of the frozen Fig. 1-5 formal experiment set.
CFG-0076	configs/datasets/human_lung_5loc_fine9_clustered_sim_missing_at2_sc_missing_b_cell_scnoise10.yaml	FORMAL	true	reproducibility_release/release_candidate_v1.0/configs/configs/datasets/human_lung_5loc_fine9_clustered_sim_missing_at2_sc_missing_b_cell_scnoise10.yaml	67b67769aa0521166dde6dc90461f7d6c3ad919d	2342	supporting/legacy review	Task 4H classification	Direct formal configuration or formal scenario configuration.
CFG-0077	configs/datasets/human_lung_5loc_fine9_clustered_sim_missing_at2_scnoise10.yaml	UNRESOLVED	false		782670d807b1a007c3e8fb49dd2a947dd8428da8	2057	supporting/legacy review	Task 4H classification	No frozen-manifest or formal-panel evidence establishes current formal use.
CFG-0078	configs/datasets/human_lung_5loc_fine9_clustered_sim_sc_missing_b_cell.yaml	FORMAL	true	reproducibility_release/release_candidate_v1.0/configs/configs/datasets/human_lung_5loc_fine9_clustered_sim_sc_missing_b_cell.yaml	8747a9eb65e6fe3dd46e2e3b3592ba66a86ae415	2320	Fig. 1C-D	frozen experiment manifest	Direct formal configuration or formal scenario configuration.
CFG-0079	configs/datasets/human_lung_5loc_fine9_clustered_sim_sc_missing_b_cell_scnoise05.yaml	UNRESOLVED	false		7f0c6c3d352e76f959cb56dcffb2d89e83bb3281	2330	supporting/legacy review	Task 4H classification	Not part of the frozen Fig. 1-5 formal experiment set.
CFG-0080	configs/datasets/human_lung_5loc_fine9_clustered_sim_sc_missing_b_cell_scnoise10.yaml	FORMAL	true	reproducibility_release/release_candidate_v1.0/configs/configs/datasets/human_lung_5loc_fine9_clustered_sim_sc_missing_b_cell_scnoise10.yaml	1fa8e9742e905aa0013c31ba654bce6a785fb326	2330	supporting/legacy review	Task 4H classification	Direct formal configuration or formal scenario configuration.
CFG-0081	configs/datasets/human_lung_5loc_fine9_clustered_sim_scnoise10.yaml	UNRESOLVED	false		62def4955e3599c2f4bd120719cf0e050219769e	2045	supporting/legacy review	Task 4H classification	No frozen-manifest or formal-panel evidence establishes current formal use.
CFG-0082	configs/datasets/human_lung_5loc_fine9_real.yaml	UNRESOLVED	false		07735ca337cf4c44a656e6e097d0a5eff6079f08	1709	supporting/legacy review	Task 4H classification	No frozen-manifest or formal-panel evidence establishes current formal use.
CFG-0083	configs/datasets/human_lymph_node_real.yaml	SUPPORTING	true	reproducibility_release/release_candidate_v1.0/configs/configs/datasets/human_lymph_node_real.yaml	1a97170d0d41686ea5baa9cf8aa5952b36046488	1990	supporting/legacy review	Task 4H classification	Base configuration supporting a formal derived scenario.
CFG-0084	configs/datasets/human_lymph_node_real_profile_mask_b_cell.yaml	FORMAL	true	reproducibility_release/release_candidate_v1.0/configs/configs/datasets/human_lymph_node_real_profile_mask_b_cell.yaml	aea3fa002e6f8110201b05c1b4adeb12e00073d2	2010	Fig. 2A-B/E	frozen experiment manifest	Direct formal configuration or formal scenario configuration.
