record_id	coverage_group	source_path	candidate_path	formal_role	generator	row_count	byte_size	sha1	coverage_status	redistribution_class	notes
SV-0015	Fig. 1 10% reference-noise results	visualizations/method_comparison/composite_scnoise10_stage3ab_full/composite_scnoise10_stage3ab_full_stage3b_audit.csv	reproducibility_release/release_candidate_v1.0/source_values/SV-0015_composite_scnoise10_stage3ab_full_stage3b_audit.csv	10% reference-noise source values and execution audits	scripts/run_composite_scnoise10_stage3ab_full.py	9	6419	784ea1aaa10dbbad4f1d804b2ff6be420e281503	PRESENT_HASHED_INCLUDED	PROJECT_GENERATED_REDISTRIBUTABLE	Not reconstructed from a plotted image.
SV-0016	Fig. 1 10% reference-noise results	visualizations/method_comparison/composite_scnoise10_stage3ab_full/composite_scnoise10_stage3ab_full_svtuner_method_comparisons.csv	reproducibility_release/release_candidate_v1.0/source_values/SV-0016_composite_scnoise10_stage3ab_full_svtuner_method_comparisons.csv	10% reference-noise source values and execution audits	scripts/run_composite_scnoise10_stage3ab_full.py	6	292	02b44687099936ca2504ad7861bf4ee921700ee4	PRESENT_HASHED_INCLUDED	PROJECT_GENERATED_REDISTRIBUTABLE	Not reconstructed from a plotted image.
SV-0017	Fig. 1 10% reference-noise results	visualizations/method_comparison/composite_scnoise10_stage3ab_full/composite_scnoise10_stage3ab_full_vs_old_stage3b_only.csv	reproducibility_release/release_candidate_v1.0/source_values/SV-0017_composite_scnoise10_stage3ab_full_vs_old_stage3b_only.csv	10% reference-noise source values and execution audits	scripts/run_composite_scnoise10_stage3ab_full.py	9	2564	47a0bf634cdfe70511df43e8c14a64d491743089	PRESENT_HASHED_INCLUDED	PROJECT_GENERATED_REDISTRIBUTABLE	Not reconstructed from a plotted image.
SV-0018	Fig. 1 10% reference-noise results	visualizations/method_comparison/composite_scnoise10_stage3ab_full/composite_scnoise10_stage3ab_full_guardrails.json	reproducibility_release/release_candidate_v1.0/source_values/SV-0018_composite_scnoise10_stage3ab_full_guardrails.json	10% reference-noise summaries and guardrails	scripts/run_composite_scnoise10_stage3ab_full.py		12206	242f8a9d171e72afa46aa009a362704b85bdea85	PRESENT_HASHED_INCLUDED	PROJECT_GENERATED_REDISTRIBUTABLE	Not reconstructed from a plotted image.
SV-0019	Fig. 1 10% reference-noise results	visualizations/method_comparison/composite_scnoise10_stage3ab_full/composite_scnoise10_stage3ab_full_summary.json	reproducibility_release/release_candidate_v1.0/source_values/SV-0019_composite_scnoise10_stage3ab_full_summary.json	10% reference-noise summaries and guardrails	scripts/run_composite_scnoise10_stage3ab_full.py		1699	278fae3ee21e9378328174d3041df55b7f76ed6e	PRESENT_HASHED_INCLUDED	PROJECT_GENERATED_REDISTRIBUTABLE	Not reconstructed from a plotted image.
SV-0020	Fig. 2 profile-masking results	result/real_profile_mask_foundation/adult_mouse_kidney_real_profile_mask_endo/spot_foundation.csv	reproducibility_release/release_candidate_v1.0/source_values/SV-0020_spot_foundation.csv	spot-level profile-mask foundation	scripts/build_real_profile_mask_foundation.py	6248	731702	11296a7bbf947165d53da420f9c3ff4c1d2a12c2	PRESENT_HASHED_INCLUDED	PROJECT_GENERATED_REDISTRIBUTABLE	Not reconstructed from a plotted image.
SV-0021	Fig. 2 profile-masking results	result/real_profile_mask_foundation/ffpe_mouse_brain_sagittal_real_profile_mask_microglia/spot_foundation.csv	reproducibility_release/release_candidate_v1.0/source_values/SV-0021_spot_foundation.csv	spot-level profile-mask foundation	scripts/build_real_profile_mask_foundation.py	16940	2233237	2118d5d5022c3f4031de5f1e0ba6e3f367521f43	PRESENT_HASHED_INCLUDED	PROJECT_GENERATED_REDISTRIBUTABLE	Not reconstructed from a plotted image.
SV-0022	Fig. 2 profile-masking results	result/real_profile_mask_foundation/human_breast_cancer_real_profile_mask_basal_cell/spot_foundation.csv	reproducibility_release/release_candidate_v1.0/source_values/SV-0022_spot_foundation.csv	spot-level profile-mask foundation	scripts/build_real_profile_mask_foundation.py	5036	628591	675c41cf3c90112b51182b3d0ed3290bfb448bbb	PRESENT_HASHED_INCLUDED	PROJECT_GENERATED_REDISTRIBUTABLE	Not reconstructed from a plotted image.
SV-0023	Fig. 2 profile-masking results	result/real_profile_mask_foundation/human_breast_cancer_visium_ff_wta_real_profile_mask_macrophage/spot_foundation.csv	reproducibility_release/release_candidate_v1.0/source_values/SV-0023_spot_foundation.csv	spot-level profile-mask foundation	scripts/build_real_profile_mask_foundation.py	9796	1381505	57516d3c540008badc6aa3c83817590b4a933cf6	PRESENT_HASHED_INCLUDED	PROJECT_GENERATED_REDISTRIBUTABLE	Not reconstructed from a plotted image.
SV-0024	Fig. 2 profile-masking results	result/real_profile_mask_foundation/human_breast_cancer_wta_120_real_profile_mask_endothelial_cell/spot_foundation.csv	reproducibility_release/release_candidate_v1.0/source_values/SV-0024_spot_foundation.csv	spot-level profile-mask foundation	scripts/build_real_profile_mask_foundation.py	8628	1252695	59cc1bb377fb1537d03b8571dd735062f16a0acc	PRESENT_HASHED_INCLUDED	PROJECT_GENERATED_REDISTRIBUTABLE	Not reconstructed from a plotted image.
SV-0025	Fig. 2 profile-masking results	result/real_profile_mask_foundation/human_cervical_cancer_real_profile_mask_epithelial_cell/spot_foundation.csv	reproducibility_release/release_candidate_v1.0/source_values/SV-0025_spot_foundation.csv	spot-level profile-mask foundation	scripts/build_real_profile_mask_foundation.py	5562	763630	c980dd9885634aa33cef8725cd97f08be8145152	PRESENT_HASHED_INCLUDED	PROJECT_GENERATED_REDISTRIBUTABLE	Not reconstructed from a plotted image.
SV-0026	Fig. 2 profile-masking results	result/real_profile_mask_foundation/human_heart_ff_real_profile_mask_endothelial_cell/spot_foundation.csv	reproducibility_release/release_candidate_v1.0/source_values/SV-0026_spot_foundation.csv	spot-level profile-mask foundation	scripts/build_real_profile_mask_foundation.py	456	59020	87fbf18b73a9fcd628d5c3a35aa927472bb336a5	PRESENT_HASHED_INCLUDED	PROJECT_GENERATED_REDISTRIBUTABLE	Not reconstructed from a plotted image.
SV-0027	Fig. 2 profile-masking results	result/real_profile_mask_foundation/human_intestine_cancer_real_profile_mask_endothelial_cell/spot_foundation.csv	reproducibility_release/release_candidate_v1.0/source_values/SV-0027_spot_foundation.csv	spot-level profile-mask foundation	scripts/build_real_profile_mask_foundation.py	5320	739161	6cc8af61d6b72e50ffcfa76bd5061036bcbbfdea	PRESENT_HASHED_INCLUDED	PROJECT_GENERATED_REDISTRIBUTABLE	Not reconstructed from a plotted image.
SV-0028	Fig. 2 profile-masking results	result/real_profile_mask_foundation/human_lymph_node_real_profile_mask_b_cell/spot_foundation.csv	reproducibility_release/release_candidate_v1.0/source_values/SV-0028_spot_foundation.csv	spot-level profile-mask foundation	scripts/build_real_profile_mask_foundation.py	8066	935486	4f02585f9e33c8f27fcebc627847d700e11fea88	PRESENT_HASHED_INCLUDED	PROJECT_GENERATED_REDISTRIBUTABLE	Not reconstructed from a plotted image.
SV-0029	Fig. 2 profile-masking results	result/real_profile_mask_foundation/mouse_embryo_real_profile_mask_erythroid/spot_foundation.csv	reproducibility_release/release_candidate_v1.0/source_values/SV-0029_spot_foundation.csv	spot-level profile-mask foundation	scripts/build_real_profile_mask_foundation.py	12868	1516602	00eadf29288d0074216a67bdc84b14b42c6e013c	PRESENT_HASHED_INCLUDED	PROJECT_GENERATED_REDISTRIBUTABLE	Not reconstructed from a plotted image.
SV-0030	Fig. 2 enrichment source values	visualizations/cytospace_fig2d_profile_mask_benchmark/fig2d_profile_mask_benchmark_profile_mask_manifest.csv	reproducibility_release/release_candidate_v1.0/source_values/SV-0030_fig2d_profile_mask_benchmark_profile_mask_manifest.csv	low-resolution enrichment benchmark source values	scripts/run_cytospace_fig2d_profile_mask_benchmark.py	6	2245	bf5b5dd8e01a014db563be338c6230e5885242f0	PRESENT_HASHED_INCLUDED	PROJECT_GENERATED_REDISTRIBUTABLE	Not reconstructed from a plotted image.
SV-0031	Fig. 2 enrichment source values	visualizations/cytospace_fig2d_profile_mask_benchmark/fig2d_profile_mask_benchmark_source_values.csv	reproducibility_release/release_candidate_v1.0/source_values/SV-0031_fig2d_profile_mask_benchmark_source_values.csv	low-resolution enrichment benchmark source values	scripts/run_cytospace_fig2d_profile_mask_benchmark.py	48	8833	77aaf34b35dde53837b0c47b8ed313bb566a3a85	PRESENT_HASHED_INCLUDED	PROJECT_GENERATED_REDISTRIBUTABLE	Not reconstructed from a plotted image.
SV-0032	Fig. 2 enrichment source values	visualizations/cytospace_fig2c_melanoma_stage3_profile_mask/fig2c_cd4_ce9_stage3_detected_macrophage_mask_metrics.csv	reproducibility_release/release_candidate_v1.0/source_values/SV-0032_fig2c_cd4_ce9_stage3_detected_macrophage_mask_metrics.csv	representative enrichment source values	scripts/compute_fig2c_enrichment_python.py	2	590	f2a485d3ae7c482feff851b6a72f87ef7648d78f	PRESENT_HASHED_INCLUDED	PROJECT_GENERATED_REDISTRIBUTABLE	Not reconstructed from a plotted image.
SV-0033	Fig. 2 enrichment source values	result/cytospace_fig2c_melanoma_mel1_rep2_screen_mask_macrophages/fig2c_strict_cd4_ce9/baseline/cd4_t_cells_distance_groups.csv	reproducibility_release/release_candidate_v1.0/source_values/SV-0033_cd4_t_cells_distance_groups.csv	retained baseline and SVTuner enrichment curves/summaries	scripts/compute_fig2c_enrichment_python.py	1146	96799	b28fe5aadb55dea555dc6a925d66a81af0068250	PRESENT_HASHED_INCLUDED	PROJECT_GENERATED_REDISTRIBUTABLE	Not reconstructed from a plotted image.
SV-0034	Fig. 2 enrichment source values	result/cytospace_fig2c_melanoma_mel1_rep2_screen_mask_macrophages/fig2c_strict_cd4_ce9/baseline/cd4_t_cells_enrichment_curve.csv	reproducibility_release/release_candidate_v1.0/source_values/SV-0034_cd4_t_cells_enrichment_curve.csv	retained baseline and SVTuner enrichment curves/summaries	scripts/compute_fig2c_enrichment_python.py	14520	1030156	e5122e875b51d235342b7c7f1ea5f58f2db234fd	PRESENT_HASHED_INCLUDED	PROJECT_GENERATED_REDISTRIBUTABLE	Not reconstructed from a plotted image.
SV-0035	Fig. 2 enrichment source values	result/cytospace_fig2c_melanoma_mel1_rep2_screen_mask_macrophages/fig2c_strict_cd4_ce9/baseline/fig2c_official_enrichment_summary.csv	reproducibility_release/release_candidate_v1.0/source_values/SV-0035_fig2c_official_enrichment_summary.csv	retained baseline and SVTuner enrichment curves/summaries	scripts/compute_fig2c_enrichment_python.py	1	341	56678e60e4f59a75cce9482b36824a0c03b42f23	PRESENT_HASHED_INCLUDED	PROJECT_GENERATED_REDISTRIBUTABLE	Not reconstructed from a plotted image.
SV-0036	Fig. 2 enrichment source values	result/cytospace_fig2c_melanoma_mel1_rep2_screen_mask_macrophages/fig2c_strict_cd4_ce9/route2/cd4_t_cells_distance_groups.csv	reproducibility_release/release_candidate_v1.0/source_values/SV-0036_cd4_t_cells_distance_groups.csv	retained baseline and SVTuner enrichment curves/summaries	scripts/compute_fig2c_enrichment_python.py	1176	97691	3d3b54c870e828f9d48697c59cf2e173cdc0e7a9	PRESENT_HASHED_INCLUDED	PROJECT_GENERATED_REDISTRIBUTABLE	Not reconstructed from a plotted image.
SV-0037	Fig. 2 enrichment source values	result/cytospace_fig2c_melanoma_mel1_rep2_screen_mask_macrophages/fig2c_strict_cd4_ce9/route2/cd4_t_cells_enrichment_curve.csv	reproducibility_release/release_candidate_v1.0/source_values/SV-0037_cd4_t_cells_enrichment_curve.csv	retained baseline and SVTuner enrichment curves/summaries	scripts/compute_fig2c_enrichment_python.py	14520	1029648	0899d42f4b4060615468983805dcb88eaa070d4f	PRESENT_HASHED_INCLUDED	PROJECT_GENERATED_REDISTRIBUTABLE	Not reconstructed from a plotted image.
SV-0038	Fig. 2 enrichment source values	result/cytospace_fig2c_melanoma_mel1_rep2_screen_mask_macrophages/fig2c_strict_cd4_ce9/route2/fig2c_official_enrichment_summary.csv	reproducibility_release/release_candidate_v1.0/source_values/SV-0038_fig2c_official_enrichment_summary.csv	retained baseline and SVTuner enrichment curves/summaries	scripts/compute_fig2c_enrichment_python.py	1	338	a05ce60de62b5656059f24cd58946665afca16ab	PRESENT_HASHED_INCLUDED	PROJECT_GENERATED_REDISTRIBUTABLE	Not reconstructed from a plotted image.
SV-0039	Fig. 2 enrichment source values	result/cytospace_fig2e_stage3_profile_mask/fig2e_stage3_profile_mask_metrics.csv	reproducibility_release/release_candidate_v1.0/source_values/SV-0039_fig2e_stage3_profile_mask_metrics.csv	external-tumour profile-mask metrics	scripts/build_fig2e_stage3_profile_mask_benchmark.py	220	28704	29bd3bc3fcb152ea4022ca8abe38648f206e3085	PRESENT_HASHED_INCLUDED	PROJECT_GENERATED_REDISTRIBUTABLE	Not reconstructed from a plotted image.
SV-0040	Fig. 2 cosine-similarity values	result/real_profile_mask_expression_recovery/expression_recovery_by_scenario.csv	reproducibility_release/release_candidate_v1.0/source_values/SV-0040_expression_recovery_by_scenario.csv	expression-recovery cosine source values	scripts/compute_real_profile_mask_expression_recovery.py	20	1932	1c56c060a8b0ebb1b4e536aa1492927546df6143	PRESENT_HASHED_INCLUDED	PROJECT_GENERATED_REDISTRIBUTABLE	Not reconstructed from a plotted image.
SV-0041	Fig. 2 cosine-similarity values	result/real_profile_mask_expression_recovery/expression_recovery_by_spot.csv	reproducibility_release/release_candidate_v1.0/source_values/SV-0041_expression_recovery_by_spot.csv	expression-recovery cosine source values	scripts/compute_real_profile_mask_expression_recovery.py	157840	10294332	531216f93c44f5e746c0cd6791717b82e0e9910e	PRESENT_HASHED_INCLUDED	PROJECT_GENERATED_REDISTRIBUTABLE	Not reconstructed from a plotted image.
SV-0042	Fig. 2 cosine-similarity values	result/real_profile_mask_expression_recovery/expression_recovery_long.csv	reproducibility_release/release_candidate_v1.0/source_values/SV-0042_expression_recovery_long.csv	expression-recovery cosine source values	scripts/compute_real_profile_mask_expression_recovery.py	40	4234	0e6c54717c5f8935429ed62d4b3e3af0f0f86e49	PRESENT_HASHED_INCLUDED	PROJECT_GENERATED_REDISTRIBUTABLE	Not reconstructed from a plotted image.
SV-0043	Fig. 2 cosine-similarity values	result/real_profile_mask_expression_recovery/expression_recovery_config.json	reproducibility_release/release_candidate_v1.0/source_values/SV-0043_expression_recovery_config.json	expression-recovery configuration record	scripts/compute_real_profile_mask_expression_recovery.py		853	e881fb9787d140e819380141d5dd4dca0bf4e700	PRESENT_HASHED_INCLUDED	PROJECT_GENERATED_REDISTRIBUTABLE	Not reconstructed from a plotted image.
SV-0044	Fig. 3 high-resolution results	visualizations/highres_profile_mask_fig3b_enrichment/fig3b_highres_profile_mask_enrichment_metrics.csv	reproducibility_release/release_candidate_v1.0/source_values/SV-0044_fig3b_highres_profile_mask_enrichment_metrics.csv	high-resolution running-enrichment source values	scripts/build_fig3b_highres_profile_mask_enrichment.py	5	2497	177f14ef9745cb38e6013db1d8ad5f2fb9f9505a	PRESENT_HASHED_INCLUDED	PROJECT_GENERATED_REDISTRIBUTABLE	Not reconstructed from a plotted image.
SV-0045	Fig. 3 high-resolution results	visualizations/highres_profile_mask_fig3b_enrichment/fig3b_highres_profile_mask_enrichment_selected_source_values.csv	reproducibility_release/release_candidate_v1.0/source_values/SV-0045_fig3b_highres_profile_mask_enrichment_selected_source_values.csv	high-resolution running-enrichment source values	scripts/build_fig3b_highres_profile_mask_enrichment.py	2561	579361	05d281ca68aa5028bc030a6b045f3901e77f6c79	PRESENT_HASHED_INCLUDED	PROJECT_GENERATED_REDISTRIBUTABLE	Not reconstructed from a plotted image.
SV-0046	Fig. 3 high-resolution results	visualizations/highres_profile_mask_fig3b_enrichment/fig3b_highres_profile_mask_enrichment_source_values.csv	reproducibility_release/release_candidate_v1.0/source_values/SV-0046_fig3b_highres_profile_mask_enrichment_source_values.csv	high-resolution running-enrichment source values	scripts/build_fig3b_highres_profile_mask_enrichment.py	12805	3276105	615fced52f25fdd95a4d98f5785f31b77b650e04	PRESENT_HASHED_INCLUDED	PROJECT_GENERATED_REDISTRIBUTABLE	Not reconstructed from a plotted image.
SV-0047	Fig. 3 high-resolution results	visualizations/highres_profile_mask_fig3b_enrichment/fig3b_highres_profile_mask_enrichment_manifest.json	reproducibility_release/release_candidate_v1.0/source_values/SV-0047_fig3b_highres_profile_mask_enrichment_manifest.json	high-resolution enrichment manifest	scripts/build_fig3b_highres_profile_mask_enrichment.py		10643	ab5747b39926e61784c2600ccfb7559945894b80	PRESENT_HASHED_INCLUDED	PROJECT_GENERATED_REDISTRIBUTABLE	Not reconstructed from a plotted image.
SV-0048	Fig. 3 21-readout panel	visualizations/highres_profile_mask_fig2d/all_candidates/fig2d_highres_profile_mask_benchmark_all_profiles.csv	reproducibility_release/release_candidate_v1.0/source_values/SV-0048_fig2d_highres_profile_mask_benchmark_all_profiles.csv	all-candidate high-resolution readouts	scripts/build_highres_profile_mask_fig2d_benchmark.py	21	9967	330a53d872d477cb7cc2437ae5853b8081751006	PRESENT_HASHED_INCLUDED	PROJECT_GENERATED_REDISTRIBUTABLE	Not reconstructed from a plotted image.
SV-0049	Fig. 3 21-readout panel	visualizations/highres_profile_mask_fig2d/all_candidates/fig2d_highres_profile_mask_benchmark_candidate_scan.csv	reproducibility_release/release_candidate_v1.0/source_values/SV-0049_fig2d_highres_profile_mask_benchmark_candidate_scan.csv	all-candidate high-resolution readouts	scripts/build_highres_profile_mask_fig2d_benchmark.py	21	9511	943736d20a08d6d356fefe9c82d777199bee7075	PRESENT_HASHED_INCLUDED	PROJECT_GENERATED_REDISTRIBUTABLE	Not reconstructed from a plotted image.
SV-0050	Fig. 3 21-readout panel	visualizations/highres_profile_mask_fig2d/all_candidates/fig2d_highres_profile_mask_benchmark_source_values.csv	reproducibility_release/release_candidate_v1.0/source_values/SV-0050_fig2d_highres_profile_mask_benchmark_source_values.csv	all-candidate high-resolution readouts	scripts/build_highres_profile_mask_fig2d_benchmark.py	84	24621	ec5f78a9e042d8af4977223ad4bec77f833674be	PRESENT_HASHED_INCLUDED	PROJECT_GENERATED_REDISTRIBUTABLE	Not reconstructed from a plotted image.
SV-0051	Fig. 3 21-readout panel	visualizations/highres_profile_mask_fig2d/all_candidates/fig2d_highres_profile_mask_benchmark_manifest.json	reproducibility_release/release_candidate_v1.0/source_values/SV-0051_fig2d_highres_profile_mask_benchmark_manifest.json	all-candidate high-resolution manifest	scripts/build_highres_profile_mask_fig2d_benchmark.py		1716	129a305fdb3d1d2275ca50a1650e332fa5b4b26e	PRESENT_HASHED_INCLUDED	PROJECT_GENERATED_REDISTRIBUTABLE	Not reconstructed from a plotted image.
SV-0052	Fig. 3 selected 10-readout panel	visualizations/highres_profile_mask_fig2d/targeted_validation/targeted_fig2d_highres_fixed_panel_fixed_profiles.csv	reproducibility_release/release_candidate_v1.0/source_values/SV-0052_targeted_fig2d_highres_fixed_panel_fixed_profiles.csv	targeted high-resolution source values	scripts/run_highres_targeted_validation_fig2d.py	10	4710	f945d7d81de4bdca55277e522208f75918682550	PRESENT_HASHED_INCLUDED	PROJECT_GENERATED_REDISTRIBUTABLE	Not reconstructed from a plotted image.
SV-0053	Fig. 3 selected 10-readout panel	visualizations/highres_profile_mask_fig2d/targeted_validation/targeted_fig2d_highres_fixed_panel_source_values.csv	reproducibility_release/release_candidate_v1.0/source_values/SV-0053_targeted_fig2d_highres_fixed_panel_source_values.csv	targeted high-resolution source values	scripts/run_highres_targeted_validation_fig2d.py	40	10769	e1ba7436d741e690203312c51beda1dd85b0585f	PRESENT_HASHED_INCLUDED	PROJECT_GENERATED_REDISTRIBUTABLE	Not reconstructed from a plotted image.
SV-0054	Fig. 3 selected 10-readout panel	visualizations/highres_profile_mask_fig2d/targeted_validation/targeted_fig2d_highres_fixed_panel_manifest.json	reproducibility_release/release_candidate_v1.0/source_values/SV-0054_targeted_fig2d_highres_fixed_panel_manifest.json	targeted panel manifest	scripts/run_highres_targeted_validation_fig2d.py		1031	b45804c8cb10e29002a3ed794c23598f20043e12	PRESENT_HASHED_INCLUDED	PROJECT_GENERATED_REDISTRIBUTABLE	Not reconstructed from a plotted image.
