script_id,script_path,phase,inputs_detected,outputs_detected,coordinate_columns_read,coordinate_columns_written,barcode_columns_read,barcode_columns_written,tissue_positions_read,scalefactors_read,tissue_image_read,coordinate_transform_detected,transform_type,relevant_code_lines_or_snippets,notes
script_011,scripts/run_bioapp_phase2b_example_cta_endpoint_freeze_test.py,BioApp Phase 2b,"BioApp Phase 2B ST_data.RData inventory|CTA-to-spot mapping unavailable because ST_data.RData could not be parsed.|README.md|ST_data.RData|ST_data.RData could not be parsed in the current environment. R + Seurat is required to run CTA_align and export barcode-level endpoint labels.|ST_data.RData not parsed because required files are missing. |ST_data.RData not parsed. |ST_data.RData parsed:|ST_data.RData was not parsed, so CTA_align could not generate real CTA-to-spot barcode mapping.|bioapp_phase2b_cta_to_spot_mapping.csv|bioapp_phase2b_decision.txt|bioapp_phase2b_endpoint_definition.json|bioapp_phase2b_endpoint_spot_labels.csv|bioapp_phase2b_endpoint_statistics.csv|bioapp_phase2b_example_file_validation.csv|bioapp_phase2b_golden_rules_v2_1_check.json|bioapp_phase2b_readme.txt|bioapp_phase2b_st_data_object_inventory.txt|bioapp_phase2b_st_data_spot_metadata.csv|reason: ST_data.RData could not be parsed in the current environment, so official CTA_align could not be executed.","CTA_output classes are external pathology-derived labels, but no spot-level endpoint can be frozen until ST_data.RData is parsed and CTA_align generates barcode|CTA_output.txt|bioapp_phase2b_cta_align_runtime_report.txt|bioapp_phase2b_cta_output_preview.csv|bioapp_phase2b_cta_output_report.txt|bioapp_phase2b_cta_output_schema.csv|bioapp_phase2b_endpoint_freeze_manifest.json|bioapp_phase2b_endpoint_freeze_report.txt|bioapp_phase2b_endpoint_statistics_report.txt|bioapp_phase2b_st_data_coordinate_report.txt|bioapp_phase2b_summary.json",pxl_col_in_fullres|pxl_row_in_fullres,pxl_col_in_fullres|pxl_row_in_fullres,barcode,barcode,False,False,False,False,,"L39: ""pxl_col_in_fullres"", || L40: ""pxl_row_in_fullres"", || L296: ""pxl_col_in_fullres"", || L297: ""pxl_row_in_fullres"",",
script_012,scripts/run_bioapp_phase2br2_explicit_rscript_cta_align_locale_safe_dry_run.py,BioApp Phase 2br2,ST_data.RData|ST_data.RData parsed:|bioapp_phase2br2_cta_align_invocation_record.json|bioapp_phase2br2_cta_to_spot_mapping_example.csv|bioapp_phase2br2_cta_to_spot_mapping_sanity_check.csv|bioapp_phase2br2_decision.txt|bioapp_phase2br2_explicit_r_runtime_check.json|bioapp_phase2br2_explicit_r_runtime_check.txt|bioapp_phase2br2_golden_rules_v2_1_check.json|bioapp_phase2br2_r_package_check.csv|bioapp_phase2br2_r_package_check.txt|bioapp_phase2br2_readme.txt|bioapp_phase2br2_st_data_coordinates.csv|bioapp_phase2br2_st_data_object_inventory.json|bioapp_phase2br2_st_data_object_inventory.txt|bioapp_phase2br2_st_data_spot_metadata.csv,BioApp Phase 2B-R2 explicit Rscript CTA_align locale-safe dry run.  This phase supersedes the earlier PATH-only Rscript check. It uses the standalone R installa|CTA_output.txt|bioapp_phase2br2_cta_align_dry_run_report.txt|bioapp_phase2br2_cta_align_locale_patch_report.txt|bioapp_phase2br2_cta_output_preview.csv|bioapp_phase2br2_cta_output_schema.csv|bioapp_phase2br2_cta_to_spot_mapping_sanity_report.txt|bioapp_phase2br2_summary.json,col|imagecol|imagerow|pxl_col_in_fullres|pxl_row_in_fullres|row,col|imagecol|imagerow|pxl_col_in_fullres|pxl_row_in_fullres|row,barcode,barcode,False,False,False,True,scale|scaling_factor,"L44: SCALING_FACTOR = 0.3 || L237: scaling_factor <- as.numeric(args[[7]]) || L258: coords[, pxl_col_in_fullres := imagecol / scaling_factor] || L259: coords[, pxl_row_in_fullres := imagerow / scaling_factor] || L260: coords[, pxl_row_in_fullres_reverse := raw_image_height - pxl_row_in_fullres] || L262: radius_fullres <- (spot_radius / 2) / scaling_factor || L264: coords[, xmin := pxl_col_in_fullres - radius_fullres] || L265: coords[, xmax := pxl_col_in_fullres + radius_fullres] || L266: coords[, ymin := pxl_row_in_fullres_reverse - radius_fullres] || L267: coords[, ymax := pxl_row_in_fullres_reverse + radius_fullres]",
script_013,scripts/run_bioapp_phase2br_r_seurat_runtime_resolution_and_cta_align_dry_run.py,BioApp Phase 2br,/ST_data.RData|BioApp Phase 2B-R ST_data.RData object inventory|Required R packages unavailable; ST_data.RData inventory not run.|Rscript not found; ST_data.RData inventory not run.|ST_data.RData|ST_data.RData not parsed; official CTA_align dry run not attempted.|ST_data.RData parsed:|bioapp_phase2br_cta_to_spot_mapping_example.csv|bioapp_phase2br_decision.txt|bioapp_phase2br_golden_rules_v2_1_check.json|bioapp_phase2br_r_environment_repair_plan.txt|bioapp_phase2br_r_package_check.csv|bioapp_phase2br_r_package_check.txt|bioapp_phase2br_r_runtime_check.json|bioapp_phase2br_r_runtime_check.txt|bioapp_phase2br_readme.txt|bioapp_phase2br_st_data_object_inventory.json|bioapp_phase2br_st_data_object_inventory.txt|load ST_data.RData Seurat object and access spatial image slots,/CTA_output.txt|bioapp_phase2b_summary.json|bioapp_phase2br_cta_align_dry_run_report.txt|bioapp_phase2br_summary.json|fast CTA_output.txt loading,pxl_col_in_fullres|pxl_row_in_fullres,pxl_col_in_fullres|pxl_row_in_fullres,barcode,barcode,False,False,False,False,,"L45: ""pxl_col_in_fullres"", || L46: ""pxl_row_in_fullres"",",
script_014,scripts/run_bioapp_phase2c_endpoint_freeze_with_validated_cta_to_spot_mapping.py,BioApp Phase 2c,README.md|_spots.txt|bioapp_phase2br2_cta_align_invocation_record.json|bioapp_phase2br2_cta_to_spot_mapping_example.csv|bioapp_phase2br2_golden_rules_v2_1_check.json|bioapp_phase2br2_st_data_coordinates.csv|bioapp_phase2br2_st_data_object_inventory.json|bioapp_phase2c_golden_rules_v2_1_check.json|decision.txt|endpoint_definition.json|endpoint_eligibility_qc.csv|spot_level_CTA_composition.csv|spot_level_endpoint_freeze.csv,bioapp_phase2br2_summary.json|bioapp_phase2c_endpoint_freeze_summary.json|endpoint_freeze_manifest.json|manifest.csv,col|imagecol|imagerow|pxl_col_in_fullres|pxl_row_in_fullres|row,col|imagecol|imagerow|pxl_col_in_fullres|pxl_row_in_fullres|row,barcode,barcode,False,False,False,False,,"L229: ""imagerow"", || L230: ""imagecol"", || L231: ""pxl_col_in_fullres"", || L232: ""pxl_row_in_fullres"", || L267: ""imagerow"", || L268: ""imagecol"", || L269: ""pxl_col_in_fullres"", || L270: ""pxl_row_in_fullres"", || L306: coords = df[[""imagecol"", ""imagerow""]].to_numpy(dtype=float) || L459: df[""imagecol""],",
script_015,scripts/run_bioapp_phase3_reference_audit_and_formal_baseline_feasibility_for_cta_endpoint.py,BioApp Phase 3,**/stage1_preprocess/exported/sc_metadata.csv|.csv|.txt|Computed from Phase 2B-R2 ST_data.RData gene names and recommended scRNA expression header.|Phase 2B-R2 ST_data.RData read-only assay inventory|README.md|Rscript or ST_data.RData not found|ST_data.RData|baseline_command_dry_plan.txt|bioapp_phase2c_golden_rules_v2_1_check.json|bioapp_phase3_golden_rules_v2_1_check.json|decision.txt|endpoint_definition.json|endpoint_specific_metric_plan.json|formal_baseline_feasibility_audit.csv|gene_overlap_audit.csv|immune_reference_label_audit.csv|phase3_st_rdata_gene_inventory.json|primary_endpoint_ambiguous_spots.txt|primary_endpoint_excluded_spots.txt|primary_endpoint_negative_spots.txt|primary_endpoint_positive_spots.txt|reference_file_inventory.csv|reference_label_audit.csv|sc_expression_normalized.csv|sc_metadata.csv|spot_level_CTA_composition.csv|spot_level_endpoint_freeze.csv|st_coordinates.csv|st_expression_normalized.csv|stage1_preprocess/exported/sc_metadata.csv," --output <future_output_dir>  Expected output files: - assigned_locations.csv - assigned_locations_with_labels.csv - spot-level immune assignment summaries  No|.  Dropout design: primary design removes all immune-related labels; size-matched non-immune control is only designed, not executed.  Formal baseline feasibilit|bioapp_phase2c_endpoint_freeze_summary.json|bioapp_phase3_reference_audit_summary.json|manifest.csv|reference_dropout_design.json",,,barcode,barcode,True,False,False,True,crop,"L276: if ""st_coordinates"" in name or ""coordinates"" in name or ""tissue_positions"" in name:",
script_016,scripts/run_bioapp_phase3r_review_resolution_for_cta_endpoint_baseline_feasibility.py,BioApp Phase 3r,README.md|ST_data.RData|ST_data.RData expression export failed|ST_data.RData not found: |baseline_command_dry_plan_phase3r.txt|bioapp_phase3r_golden_rules_v2_1_check.json|control_strategy_resolution.json|control_strategy_resolution.txt|decision.txt|formal_gene_intersection.txt|random_all_cell_size_matched_control_dry_design.json|reference_cell_list.txt|reference_cell_type_counts.csv|reference_expression_audit.csv|reference_gene_list.txt|reference_metadata_audit.csv|sc_expression_normalized.csv|sc_metadata.csv|scrna_only_genes.txt|spot_level_endpoint_freeze.csv|st_barcode_list_full_2248.txt|st_coordinates_full_2248.csv|st_endpoint_spot_coverage_audit.csv|st_expression_full_2248_counts.csv.gz|st_expression_full_2248_counts_spots_by_genes.csv.gz|st_expression_full_2248_data.csv.gz|st_expression_full_2248_data_spots_by_genes.csv.gz|st_gene_list_full_2248.txt|st_only_genes.txt|st_r_export_stderr.txt|st_sc_gene_overlap_audit.csv," args <- commandArgs(trailingOnly = TRUE) if (length(args) < 2) {   stop(""usage: Rscript phase3r_export_st_expression_from_rdata.R <ST_data.RData> <out_dir>"") }|bioapp_phase2c_endpoint_freeze_summary.json|bioapp_phase3_reference_audit_summary.json|bioapp_phase3r_review_resolution_summary.json|cytospace_input_manifest.csv|cytospace_input_manifest.json|immune_all_dropout_design.json|manifest.csv|nonimmune_all_dropout_control_design.json|st_r_export_stdout.txt",,,barcode,barcode,False,False,False,True,crop,,
script_017,scripts/run_bioapp_phase4_formal_cytospace_baseline_execution_against_frozen_cta_immune_endpoint.py,BioApp Phase 4,.csv|.txt|README.md|assigned_locations.csv|baseline_execution_qc.csv|bioapp_phase4_golden_rules_v2_1_check.json|cell_type_fractions.csv|cell_type_labels.csv|control_strategy_resolution.json|cytospace_run_config.json|decision.txt|formal_gene_intersection.txt|gene_list_used.txt|random_all_cell_size_matched_control_cell_list_seed20260705.txt|random_all_cell_size_matched_control_design_phase4_prepared.json|random_all_cell_size_matched_control_dry_design.json|reference_cell_list_used.txt|reference_expression_used.csv|reference_expression_used.csv.gz|reference_label_counts_used.csv|reference_metadata_used.csv|run_command.txt|run_environment.txt|run_log_stderr.txt|run_status.json|st_coordinates_full_2248.csv|st_coordinates_used.csv|st_expression_full_2248_counts.csv.gz|st_expression_full_2248_data.csv.gz|st_expression_used.csv|st_spot_list_used.txt,baseline_output_inventory.csv|bioapp_phase2c_endpoint_freeze_summary.json|bioapp_phase3r_review_resolution_summary.json|bioapp_phase4_formal_cytospace_baseline_execution_summary.json|cytospace_input_manifest.json|immune_all_dropout_design.json|input_manifest.csv|input_manifest.json|manifest.csv|nonimmune_all_dropout_control_design.json|run_log_stdout.txt,col|imagecol|imagerow|row,col|imagecol|imagerow|row,barcode,barcode,False,False,False,True,crop,"L217: elif {""barcode"", ""imagerow"", ""imagecol""}.issubset(st_coords_full.columns): || L218: st_coords = st_coords_full[[""barcode"", ""imagerow"", ""imagecol""]].copy() || L219: st_coords = st_coords.rename(columns={""imagerow"": ""row"", ""imagecol"": ""col""}) || L221: raise ValueError(""ST coordinates must contain barcode,row,col or barcode,imagerow,imagecol"")",
script_018,scripts/run_bioapp_phase5_endpoint_specific_evaluation_of_cytospace_baselines_against_frozen_cta_immune_endpoint.py,BioApp Phase 5,: fractional_abundances_by_spot.csv missing SpotID|README.md|_endpoint_score_by_spot.csv|_label_grouping_used.json|_spot_fraction_table.csv|assigned_locations.csv|baseline_condition_metric_comparison.csv|baseline_endpoint_score_all_runs_by_spot.csv|baseline_positive_spot_nonimmune_label_breakdown.csv|baseline_spot_universe_alignment.csv|bioapp_phase5_golden_rules_v2_1_check.json|cell_type_assignments_by_spot.csv|decision.txt|fractional_abundances_by_spot.csv|log.txt|spot_level_endpoint_freeze.csv|st_coordinates_full_2248.csv,_immune_score_map.pdf|_immune_score_map.svg|baseline_endpoint_metric_summary.csv|baseline_endpoint_metric_summary.pdf|baseline_endpoint_metric_summary.svg|baseline_full_reference_immune_score_map.pdf|baseline_immune_all_dropout_immune_score_map.pdf|baseline_immune_score_positive_vs_negative_boxplots.pdf|baseline_immune_score_positive_vs_negative_boxplots.svg|baseline_nonimmune_all_dropout_control_immune_score_map.pdf|baseline_output_parse_report.csv|baseline_positive_spot_nonimmune_label_breakdown.pdf|baseline_positive_spot_nonimmune_label_breakdown.svg|bioapp_phase2c_endpoint_freeze_summary.json|bioapp_phase4_formal_cytospace_baseline_execution_summary.json|bioapp_phase5_endpoint_specific_baseline_evaluation_summary.json|frozen_cta_immune_endpoint_status_map.pdf|frozen_cta_immune_endpoint_status_map.svg|manifest.csv,col|imagecol|imagerow|row,col|imagecol|imagerow|row,barcode,barcode,False,False,False,True,scale|crop,"L123: if {""imagerow"", ""imagecol""}.issubset(coords.columns): || L124: coords = coords.rename(columns={""imagerow"": ""row"", ""imagecol"": ""col""})",
script_019,scripts/run_bioapp_phase6_svtuner_aware_execution_planning_against_frozen_cta_immune_endpoint.py,BioApp Phase 6,.csv|.txt|README.md|bioapp_phase6_golden_rules_v2_1_check.json|decision.txt|formal_gene_intersection.txt|phase5_baseline_anchor_snapshot.json|phase7_execution_gate.json|primary_endpoint_ambiguous_spots.txt|primary_endpoint_excluded_spots.txt|primary_endpoint_negative_spots.txt|primary_endpoint_positive_spots.txt|primary_svtuner_condition_selection.json|reference_expression_used.csv.gz|reference_metadata_used.csv|spot_level_endpoint_freeze.csv|st_coordinates_full_2248.csv|st_expression_full_2248_data.csv.gz|svtuner_command_dry_plan.txt|svtuner_condition_plan.json|svtuner_entrypoint_inventory.csv|svtuner_metric_alignment_plan.json|svtuner_metric_alignment_plan.md|svtuner_threshold_policy.json,  Expected output directory: visualizations/bioapp_phase7_svtuner_aware_execution_against_frozen_cta_immune_endpoint/svtuner_immune_all_dropout  Expected spot-l|baseline_endpoint_metric_summary.csv|bioapp_phase2c_endpoint_freeze_summary.json|bioapp_phase3r_review_resolution_summary.json|bioapp_phase4_formal_cytospace_baseline_execution_summary.json|bioapp_phase5_endpoint_specific_baseline_evaluation_summary.json|bioapp_phase6_svtuner_execution_planning_summary.json|cytospace_input_manifest.json|immune_all_dropout_design.json|manifest.csv|svtuner_future_input_manifest.csv|svtuner_future_input_manifest.json|svtuner_output_contract.json|svtuner_output_contract.md,,,barcode,barcode,False,False,False,False,,,
script_020,scripts/run_bioapp_phase7_svtuner_aware_execution_against_frozen_cta_immune_endpoint.py,BioApp Phase 7,*.csv|*.json|.csv|README.md|baseline_endpoint_score_all_runs_by_spot.csv|bioapp_phase7_golden_rules_v2_1_check.json|decision.txt|endpoint_freeze_table_path.txt|formal_gene_intersection.txt|formal_gene_intersection_used.txt|phase7_threshold_record.json|reference_expression_used.csv|reference_expression_used_path.txt|reference_metadata_used.csv|reference_metadata_used_path.txt|run_command.txt|run_environment.txt|run_log_stderr.txt|run_status.json|sc_expression_normalized.csv|sc_metadata.csv|spot_level_endpoint_freeze.csv|spot_unsupported_scores.csv|st_coordinates.csv|st_coordinates_full_2248.csv|st_coordinates_used_path.txt|st_expression_full_2248_data.csv.gz|st_expression_normalized.csv|st_expression_used_path.txt|stage3b spot_unsupported_scores.csv / Phase5 baseline anchor / Phase2C endpoint freeze|svtuner_execution_qc.csv|svtuner_threshold_policy.json,baseline_anchor_output_dir.txt|bioapp_phase2c_endpoint_freeze_summary.json|bioapp_phase3r_review_resolution_summary.json|bioapp_phase4_formal_cytospace_baseline_execution_summary.json|bioapp_phase5_endpoint_specific_baseline_evaluation_summary.json|bioapp_phase6_svtuner_execution_planning_summary.json|bioapp_phase7_svtuner_aware_execution_summary.json|manifest.csv|run_log_stdout.txt|svtuner_future_input_manifest.csv|svtuner_future_input_manifest.json|svtuner_immune_all_dropout_spot_level_raw_output_contract.csv|svtuner_input_manifest.csv|svtuner_input_manifest.json|svtuner_output_contract.json|svtuner_raw_output_inventory.csv|svtuner_raw_output_parse_report.csv,col|imagecol|imagerow|row,col|imagecol|imagerow|row,barcode,barcode,False,False,False,True,scale,"L187: keep = [""spot_id""] + [c for c in [""row"", ""col"", ""imagerow"", ""imagecol""] if c in coords.columns]",
script_021,scripts/run_bioapp_phase8_svtuner_vs_endpoint_evaluation_and_baseline_svtuner_comparison.py,BioApp Phase 8,README.md|baseline_condition_metric_comparison.csv|baseline_endpoint_score_all_runs_by_spot.csv|baseline_svtuner_endpoint_comparison_by_spot.csv|baseline_svtuner_metric_comparison.csv|binary_withheld_endpoint_contingency.csv|bioapp_phase8_golden_rules_v2_1_check.json|contradiction_prevention_spots.csv|decision.txt|endpoint_analysis_set_qc.csv|endpoint_concordant_interpretation_by_spot.csv|formal_gene_intersection.txt|gene_count_audit.csv|gene_count_audit.json|phase5_baseline_anchor_import_qc.csv|phase8_input_qc.csv|spot_level_endpoint_freeze.csv|spot_level_endpoint_freeze.csv is authoritative; txt list line-count differences are ignored for endpoint status.|spot_unsupported_scores.csv|svtuner_endpoint_score_by_spot.csv|svtuner_metric_alignment_plan.json|svtuner_threshold_policy.json|withheld_pr_curve.csv|withheld_roc_curve.csv,baseline_endpoint_metric_summary.csv|binary_withheld_enrichment_summary.csv|bioapp_phase2c_endpoint_freeze_summary.json|bioapp_phase5_endpoint_specific_baseline_evaluation_summary.json|bioapp_phase6_svtuner_execution_planning_summary.json|bioapp_phase7_svtuner_aware_execution_summary.json|bioapp_phase8_svtuner_vs_endpoint_evaluation_summary.json|contradiction_prevention_summary.csv|endpoint_concordant_interpretation_summary.csv|endpoint_positive_forced_nonimmune_burden_reduction_summary.csv|figure_manifest.csv|formal_gene_intersection.txt contains 2000 non-empty unique gene lines; Stage3B also reports 2000 genes. The previous 1999 count is attributable to a line-count|manifest.csv|phase7_svtuner_raw_output_import_qc.csv|spatial_overlap_summary.csv|stage3b_summary.json|svtuner_immune_all_dropout_spot_level_raw_output_contract.csv|svtuner_output_contract.json|withheld_enrichment_summary.csv,imagecol|imagerow,imagecol|imagerow,barcode,barcode,False,False,False,False,,"L588: df = endpoint[[""barcode"", ""imagecol"", ""imagerow"", ""primary_endpoint_status""]].merge(scores[[""barcode"", ""withheld_score"", ""withheld_binary""]], on=""barcode"").merge( || L600: axes[0].scatter(df[""imagecol""], df[""imagerow""], c=df[""primary_endpoint_status""].map(status_colors), s=4, linewidths=0) || L602: sc = axes[1].scatter(df[""imagecol""], df[""imagerow""], c=df[""baseline_forced_nonimmune_burden""], cmap=""magma"", s=4, linewidths=0, vmin=0, vmax=1) || L605: sc = axes[2].scatter(df[""imagecol""], df[""imagerow""], c=df[""withheld_score""], cmap=""viridis"", s=4, linewidths=0, vmin=0, vmax=1) || L608: axes[3].scatter(df[""imagecol""], df[""imagerow""], c=np.where(df[""withheld_binary""], ""#1f78b4"", ""#d9d9d9""), s=4, linewidths=0) || L610: axes[4].scatter(df[""imagecol""], df[""imagerow""], c=""#d9d9d9"", s=3, linewidths=0) || L611: axes[4].scatter(df.loc[pos, ""imagecol""], df.loc[pos, ""imagerow""], facecolors=""none"", edgecolors=""#d62728"", s=18, linewidths=0.6) || L612: axes[4].scatter(df.loc[df[""withheld_binary""], ""imagecol""], df.loc[df[""withheld_binary""], ""imagerow""], c=""#1f78b4"", s=5, linewidths=0)",
script_022,scripts/run_bioapp_phase9_final_biological_application_audit.py,BioApp Phase 9,README.md|bioapp_phase8_golden_rules_v2_1_check.json|bioapp_phase9_audit_checklist.csv|bioapp_phase9_figure_selection_table.csv|bioapp_phase9_golden_rules_final_check.json|bioapp_phase9_interpretation_boundary_lock.json|gene_count_audit.json,  ## Recommended Main Figure Candidate  `endpoint_baseline_svtuner_three_way_spatial_comparison.pdf`  This is the strongest main figure candidate because it con|binary_withheld_endpoint_contingency_plot.pdf|binary_withheld_endpoint_contingency_plot.svg|bioapp_phase2c_endpoint_freeze_summary.json|bioapp_phase3r_review_resolution_summary.json|bioapp_phase4_formal_cytospace_baseline_execution_summary.json|bioapp_phase5_endpoint_specific_baseline_evaluation_summary.json|bioapp_phase6_svtuner_execution_planning_summary.json|bioapp_phase7_svtuner_aware_execution_summary.json|bioapp_phase8_svtuner_vs_endpoint_evaluation_summary.json|bioapp_phase9_figure_selection_report.md|bioapp_phase9_final_audit_summary.json|endpoint_baseline_svtuner_three_way_spatial_comparison.pdf|endpoint_baseline_svtuner_three_way_spatial_comparison.svg|endpoint_positive_forced_nonimmune_burden_reduction.pdf|endpoint_positive_forced_nonimmune_burden_reduction.svg|manifest.csv|phase8_svtuner_endpoint_metric_summary.pdf|phase8_svtuner_endpoint_metric_summary.svg|withheld_score_positive_vs_negative_boxplot.pdf|withheld_score_positive_vs_negative_boxplot.svg|withheld_score_pr_curve.pdf|withheld_score_pr_curve.svg|withheld_score_roc_curve.pdf|withheld_score_roc_curve.svg,,,,,False,False,False,False,,,
