check_id	manuscript_fact_group	manuscript_fact	manifest_record_id	manifest_value	match_status	severity	recommended_action	evidence_paths
REC015	A2 human-lung joint simulation	SIM03_HUMAN_LUNG.reference_resource = corresponding donor-level lung resource	SIM03_HUMAN_LUNG	corresponding donor-level lung resource	MATCH	INFORMATIONAL	No change.	visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/dataset_manifest_draft_v0_2.tsv;visualizations/manuscript_audits/dataset_provenance_formal_audit/accession_type_audit.tsv
REC016	A2 human-lung joint simulation	SIM03_HUMAN_LUNG.reference_accessions = E-MTAB-11640;PRJEB52292	SIM03_HUMAN_LUNG	E-MTAB-11640;PRJEB52292	MATCH	INFORMATIONAL	No change.	visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/dataset_manifest_draft_v0_2.tsv;visualizations/manuscript_audits/dataset_provenance_formal_audit/accession_type_audit.tsv
REC017	A2 human-lung joint simulation	SIM03_HUMAN_LUNG.simulation_truth = project generated	SIM03_HUMAN_LUNG	project generated	MATCH	INFORMATIONAL	No change.	visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/dataset_manifest_draft_v0_2.tsv;visualizations/manuscript_audits/dataset_provenance_formal_audit/accession_type_audit.tsv
REC018	A2 human-lung joint simulation	SIM03_HUMAN_LUNG.read_run_accession = UNRESOLVED	SIM03_HUMAN_LUNG	UNRESOLVED	MATCH_WITH_QUALIFIED_WORDING	INFORMATIONAL	Retain qualified wording and blank/UNRESOLVED field.	visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/dataset_manifest_draft_v0_2.tsv;visualizations/manuscript_audits/dataset_provenance_formal_audit/accession_type_audit.tsv
REC019	A2 human-lung joint simulation	SIM03_HUMAN_LUNG.accession_type_guardrail = ERS20065156 is an ENA sample accession, not a run accession	SIM03_HUMAN_LUNG	ERS20065156 is an ENA sample accession, not a run accession	MATCH	INFORMATIONAL	No change.	visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/dataset_manifest_draft_v0_2.tsv;visualizations/manuscript_audits/dataset_provenance_formal_audit/accession_type_audit.tsv
REC020	A3 mouse-brain joint simulation	SIM02_MOUSE_BRAIN.internal_id = mouse_brain_refined	SIM02_MOUSE_BRAIN	mouse_brain_refined	MATCH	INFORMATIONAL	No change.	visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/dataset_manifest_draft_v0_2.tsv;visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/dataset_manifest_draft_v0_2.tsv
REC021	A3 mouse-brain joint simulation	SIM02_MOUSE_BRAIN.spatial_resource = public 10x CytAssist FFPE sagittal mouse brain	SIM02_MOUSE_BRAIN	public 10x CytAssist FFPE sagittal mouse brain	MATCH	INFORMATIONAL	No change.	visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/dataset_manifest_draft_v0_2.tsv;visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/dataset_manifest_draft_v0_2.tsv
REC022	A3 mouse-brain joint simulation	SIM02_MOUSE_BRAIN.slide = V52B25-081	SIM02_MOUSE_BRAIN	V52B25-081	MATCH	INFORMATIONAL	No change.	visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/dataset_manifest_draft_v0_2.tsv;visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/dataset_manifest_draft_v0_2.tsv
REC023	A3 mouse-brain joint simulation	SIM02_MOUSE_BRAIN.capture_area = B	SIM02_MOUSE_BRAIN	B	MATCH	INFORMATIONAL	No change.	visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/dataset_manifest_draft_v0_2.tsv;visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/dataset_manifest_draft_v0_2.tsv
REC024	A3 mouse-brain joint simulation	SIM02_MOUSE_BRAIN.reference_resource = adult mouse-brain single-nucleus reference	SIM02_MOUSE_BRAIN	adult mouse-brain single-nucleus reference	MATCH	INFORMATIONAL	No change.	visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/dataset_manifest_draft_v0_2.tsv;visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/dataset_manifest_draft_v0_2.tsv
REC025	A3 mouse-brain joint simulation	SIM02_MOUSE_BRAIN.reference_accession = E-MTAB-11115	SIM02_MOUSE_BRAIN	E-MTAB-11115	MATCH	INFORMATIONAL	No change.	visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/dataset_manifest_draft_v0_2.tsv;visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/dataset_manifest_draft_v0_2.tsv
REC026	A3 mouse-brain joint simulation	SIM02_MOUSE_BRAIN.simulation_truth = project generated	SIM02_MOUSE_BRAIN	project generated	MATCH	INFORMATIONAL	No change.	visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/dataset_manifest_draft_v0_2.tsv;visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/dataset_manifest_draft_v0_2.tsv
REC027	B low-resolution profile masking	LR01_KIDNEY.reference_resource = Comprehensive Mouse Kidney Atlas	LR01_KIDNEY	Comprehensive Mouse Kidney Atlas	MATCH	INFORMATIONAL	No change.	visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/dataset_manifest_draft_v0_2.tsv;visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/dataset_manifest_draft_v0_2.tsv
REC028	B low-resolution profile masking	LR02_BRAIN.reference_resource = E-MTAB-11115 adult mouse-brain single-nucleus reference	LR02_BRAIN	E-MTAB-11115 adult mouse-brain single-nucleus reference	MATCH	INFORMATIONAL	No change.	visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/dataset_manifest_draft_v0_2.tsv;visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/dataset_manifest_draft_v0_2.tsv
REC029	B low-resolution profile masking	LR03_BRCA_FFPE.reference_type = retained hECA breast reference export	LR03_BRCA_FFPE	retained hECA breast reference export	MATCH	INFORMATIONAL	No change.	visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/dataset_manifest_draft_v0_2.tsv;visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/heca_reference_lineage_audit.tsv
REC030	B low-resolution profile masking	LR03_BRCA_FFPE.source_study_and_donor_provenance = traceable from retained cell-level metadata	LR03_BRCA_FFPE	traceable from retained cell-level metadata	MATCH	INFORMATIONAL	No change.	visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/dataset_manifest_draft_v0_2.tsv;visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/heca_reference_lineage_audit.tsv
REC031	B low-resolution profile masking	LR03_BRCA_FFPE.slide_capture = V11J26-008 / B1	LR03_BRCA_FFPE	V11J26-008 / B1	MATCH	INFORMATIONAL	No change.	visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/dataset_manifest_draft_v0_2.tsv;visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/heca_reference_lineage_audit.tsv
REC032	B low-resolution profile masking	LR03_BRCA_FFPE.byte_identity_claim = not claimed against a newly downloaded archive	LR03_BRCA_FFPE	not claimed against a newly downloaded archive	MATCH	INFORMATIONAL	No change.	visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/dataset_manifest_draft_v0_2.tsv;visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/heca_reference_lineage_audit.tsv
REC033	B low-resolution profile masking	LR04_BRCA_FF.reference_type = retained hECA breast reference export	LR04_BRCA_FF	retained hECA breast reference export	MATCH	INFORMATIONAL	No change.	visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/dataset_manifest_draft_v0_2.tsv;visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/heca_reference_lineage_audit.tsv
REC034	B low-resolution profile masking	LR04_BRCA_FF.source_study_and_donor_provenance = traceable from retained cell-level metadata	LR04_BRCA_FF	traceable from retained cell-level metadata	MATCH	INFORMATIONAL	No change.	visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/dataset_manifest_draft_v0_2.tsv;visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/heca_reference_lineage_audit.tsv
REC035	B low-resolution profile masking	LR04_BRCA_FF.slide_capture = V19B23-014 / A1	LR04_BRCA_FF	V19B23-014 / A1	MATCH	INFORMATIONAL	No change.	visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/dataset_manifest_draft_v0_2.tsv;visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/heca_reference_lineage_audit.tsv
REC036	B low-resolution profile masking	LR04_BRCA_FF.byte_identity_claim = not claimed against a newly downloaded archive	LR04_BRCA_FF	not claimed against a newly downloaded archive	MATCH	INFORMATIONAL	No change.	visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/dataset_manifest_draft_v0_2.tsv;visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/heca_reference_lineage_audit.tsv
REC037	B low-resolution profile masking	LR05_BRCA_ILC.reference_type = retained hECA breast reference export	LR05_BRCA_ILC	retained hECA breast reference export	MATCH	INFORMATIONAL	No change.	visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/dataset_manifest_draft_v0_2.tsv;visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/heca_reference_lineage_audit.tsv
REC038	B low-resolution profile masking	LR05_BRCA_ILC.source_study_and_donor_provenance = traceable from retained cell-level metadata	LR05_BRCA_ILC	traceable from retained cell-level metadata	MATCH	INFORMATIONAL	No change.	visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/dataset_manifest_draft_v0_2.tsv;visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/heca_reference_lineage_audit.tsv
REC039	B low-resolution profile masking	LR05_BRCA_ILC.slide_capture = V19L29-095 / A1	LR05_BRCA_ILC	V19L29-095 / A1	MATCH	INFORMATIONAL	No change.	visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/dataset_manifest_draft_v0_2.tsv;visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/heca_reference_lineage_audit.tsv
REC040	B low-resolution profile masking	LR05_BRCA_ILC.byte_identity_claim = not claimed against a newly downloaded archive	LR05_BRCA_ILC	not claimed against a newly downloaded archive	MATCH	INFORMATIONAL	No change.	visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/dataset_manifest_draft_v0_2.tsv;visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/heca_reference_lineage_audit.tsv
REC041	B low-resolution profile masking	LR06_CERVICAL.reference_type = retained hECA uterus/endometrium reference export	LR06_CERVICAL	retained hECA uterus/endometrium reference export	MATCH	INFORMATIONAL	No change.	visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/dataset_manifest_draft_v0_2.tsv;visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/heca_reference_lineage_audit.tsv
REC042	B low-resolution profile masking	LR06_CERVICAL.cell_level_provenance = traceable	LR06_CERVICAL	traceable	MATCH	INFORMATIONAL	No change.	visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/dataset_manifest_draft_v0_2.tsv;visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/heca_reference_lineage_audit.tsv
REC043	B low-resolution profile masking	LR06_CERVICAL.associated_resources = Garcia-Alonso;Vento-Tormo;Human Cell Landscape;Tabula Sapiens	LR06_CERVICAL	Garcia-Alonso;Vento-Tormo;Human Cell Landscape;Tabula Sapiens	MATCH	INFORMATIONAL	No change.	visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/dataset_manifest_draft_v0_2.tsv;visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/heca_reference_lineage_audit.tsv
REC044	B low-resolution profile masking	LR07_HEART.reference_resource = healthy ventricular reference reported by Reichart et al.	LR07_HEART	healthy ventricular reference reported by Reichart et al.	MATCH	INFORMATIONAL	No change.	visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/dataset_manifest_draft_v0_2.tsv;visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/dataset_manifest_draft_v0_2.tsv
REC045	B low-resolution profile masking	LR08_INTESTINE.reference_type = retained hECA healthy-intestine reference export	LR08_INTESTINE	retained hECA healthy-intestine reference export	MATCH	INFORMATIONAL	No change.	visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/dataset_manifest_draft_v0_2.tsv;visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/heca_reference_lineage_audit.tsv
REC046	B low-resolution profile masking	LR08_INTESTINE.cell_level_provenance = traceable	LR08_INTESTINE	traceable	MATCH	INFORMATIONAL	No change.	visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/dataset_manifest_draft_v0_2.tsv;visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/heca_reference_lineage_audit.tsv
REC047	B low-resolution profile masking	LR08_INTESTINE.associated_resources = Elmentaite intestinal atlas;Human Cell Landscape;adult human cell atlas	LR08_INTESTINE	Elmentaite intestinal atlas;Human Cell Landscape;adult human cell atlas	MATCH	INFORMATIONAL	No change.	visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/dataset_manifest_draft_v0_2.tsv;visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/heca_reference_lineage_audit.tsv
REC048	B low-resolution profile masking	LR09_LYMPH_NODE.reference_resource = developing human immune-system lymph-node reference reported by Suo et al.	LR09_LYMPH_NODE	developing human immune-system lymph-node reference reported by Suo et al.	MATCH	INFORMATIONAL	No change.	visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/dataset_manifest_draft_v0_2.tsv;visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/dataset_manifest_draft_v0_2.tsv
REC049	B low-resolution profile masking	LR10_EMBRYO.reference_resource = combined Pijuan-Sala and Mittnenzweig mouse-gastrulation references	LR10_EMBRYO	combined Pijuan-Sala and Mittnenzweig mouse-gastrulation references	MATCH	INFORMATIONAL	No change.	visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/dataset_manifest_draft_v0_2.tsv;visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/dataset_manifest_draft_v0_2.tsv
REC050	B low-resolution profile masking	total low-resolution profile-masking experiments = 10	EXPERIMENT_MANIFEST	10	MATCH	INFORMATIONAL	No change.	visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/experiment_manifest_draft_v0_2.tsv
REC051	C cell-resolution MERSCOPE	MERS01_BREAST.resource = Vizgen MERFISH FFPE Human Immuno-oncology Data Set	MERS01_BREAST	Vizgen MERFISH FFPE Human Immuno-oncology Data Set	MATCH	INFORMATIONAL	No change.	visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/dataset_manifest_draft_v0_2.tsv;visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/vizgen_release_evidence.tsv
REC052	C cell-resolution MERSCOPE	MERS01_BREAST.release_date = May 2022	MERS01_BREAST	May 2022	MATCH	INFORMATIONAL	No change.	visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/dataset_manifest_draft_v0_2.tsv;visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/vizgen_release_evidence.tsv
REC053	C cell-resolution MERSCOPE	MERS01_BREAST.platform = MERSCOPE / MERFISH	MERS01_BREAST	MERSCOPE / MERFISH	MATCH	INFORMATIONAL	No change.	visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/dataset_manifest_draft_v0_2.tsv;visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/vizgen_release_evidence.tsv
REC054	C cell-resolution MERSCOPE	MERS01_BREAST.target_gene_count = 500	MERS01_BREAST	500	MATCH	INFORMATIONAL	No change.	visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/dataset_manifest_draft_v0_2.tsv;visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/vizgen_release_evidence.tsv
REC055	C cell-resolution MERSCOPE	MERS01_BREAST.blank_control_count = 50	MERS01_BREAST	50	MATCH	INFORMATIONAL	No change.	visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/dataset_manifest_draft_v0_2.tsv;visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/vizgen_release_evidence.tsv
REC056	C cell-resolution MERSCOPE	MERS01_BREAST.formal_dataset_identifier = HumanBreastCancerPatient1	MERS01_BREAST	HumanBreastCancerPatient1	MATCH	INFORMATIONAL	No change.	visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/dataset_manifest_draft_v0_2.tsv;visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/vizgen_release_evidence.tsv
REC057	C cell-resolution MERSCOPE	MERS01_BREAST.spatial_and_reference_same_release = true	MERS01_BREAST	true	MATCH	INFORMATIONAL	No change.	visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/dataset_manifest_draft_v0_2.tsv;visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/vizgen_release_evidence.tsv
REC058	C cell-resolution MERSCOPE	MERS01_BREAST.spatial_reference_cell_id_overlap = 0	MERS01_BREAST	0	MATCH	INFORMATIONAL	No change.	visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/dataset_manifest_draft_v0_2.tsv;visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/vizgen_release_evidence.tsv
REC059	C cell-resolution MERSCOPE	MERS01_BREAST.independent_scrna_reference_used = false	MERS01_BREAST	false	MATCH	INFORMATIONAL	No change.	visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/dataset_manifest_draft_v0_2.tsv;visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/vizgen_release_evidence.tsv
REC060	C cell-resolution MERSCOPE	MERS01_BREAST.spatial_representation = one-cell pseudo-spots	MERS01_BREAST	one-cell pseudo-spots	MATCH	INFORMATIONAL	No change.	visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/dataset_manifest_draft_v0_2.tsv;visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/vizgen_release_evidence.tsv
REC061	C cell-resolution MERSCOPE	MERS01_BREAST.provider_checksum = UNRESOLVED	MERS01_BREAST	UNRESOLVED	MATCH_WITH_QUALIFIED_WORDING	INFORMATIONAL	Retain qualified wording and blank/UNRESOLVED field.	visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/dataset_manifest_draft_v0_2.tsv;visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/vizgen_release_evidence.tsv
REC062	C cell-resolution MERSCOPE	MERS01_BREAST.redistribution_permission = UNRESOLVED	MERS01_BREAST	UNRESOLVED	MATCH_WITH_QUALIFIED_WORDING	INFORMATIONAL	Retain qualified wording and blank/UNRESOLVED field.	visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/dataset_manifest_draft_v0_2.tsv;visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/vizgen_release_evidence.tsv
REC063	C cell-resolution MERSCOPE	MERS02_COLON.resource = Vizgen MERFISH FFPE Human Immuno-oncology Data Set	MERS02_COLON	Vizgen MERFISH FFPE Human Immuno-oncology Data Set	MATCH	INFORMATIONAL	No change.	visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/dataset_manifest_draft_v0_2.tsv;visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/vizgen_release_evidence.tsv
REC064	C cell-resolution MERSCOPE	MERS02_COLON.release_date = May 2022	MERS02_COLON	May 2022	MATCH	INFORMATIONAL	No change.	visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/dataset_manifest_draft_v0_2.tsv;visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/vizgen_release_evidence.tsv
REC065	C cell-resolution MERSCOPE	MERS02_COLON.platform = MERSCOPE / MERFISH	MERS02_COLON	MERSCOPE / MERFISH	MATCH	INFORMATIONAL	No change.	visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/dataset_manifest_draft_v0_2.tsv;visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/vizgen_release_evidence.tsv
REC066	C cell-resolution MERSCOPE	MERS02_COLON.target_gene_count = 500	MERS02_COLON	500	MATCH	INFORMATIONAL	No change.	visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/dataset_manifest_draft_v0_2.tsv;visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/vizgen_release_evidence.tsv
REC067	C cell-resolution MERSCOPE	MERS02_COLON.blank_control_count = 50	MERS02_COLON	50	MATCH	INFORMATIONAL	No change.	visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/dataset_manifest_draft_v0_2.tsv;visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/vizgen_release_evidence.tsv
REC068	C cell-resolution MERSCOPE	MERS02_COLON.formal_dataset_identifier = HumanColonCancerPatient1	MERS02_COLON	HumanColonCancerPatient1	MATCH	INFORMATIONAL	No change.	visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/dataset_manifest_draft_v0_2.tsv;visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/vizgen_release_evidence.tsv
REC069	C cell-resolution MERSCOPE	MERS02_COLON.spatial_and_reference_same_release = true	MERS02_COLON	true	MATCH	INFORMATIONAL	No change.	visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/dataset_manifest_draft_v0_2.tsv;visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/vizgen_release_evidence.tsv
REC070	C cell-resolution MERSCOPE	MERS02_COLON.spatial_reference_cell_id_overlap = 0	MERS02_COLON	0	MATCH	INFORMATIONAL	No change.	visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/dataset_manifest_draft_v0_2.tsv;visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/vizgen_release_evidence.tsv
REC071	C cell-resolution MERSCOPE	MERS02_COLON.independent_scrna_reference_used = false	MERS02_COLON	false	MATCH	INFORMATIONAL	No change.	visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/dataset_manifest_draft_v0_2.tsv;visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/vizgen_release_evidence.tsv
REC072	C cell-resolution MERSCOPE	MERS02_COLON.spatial_representation = one-cell pseudo-spots	MERS02_COLON	one-cell pseudo-spots	MATCH	INFORMATIONAL	No change.	visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/dataset_manifest_draft_v0_2.tsv;visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/vizgen_release_evidence.tsv
REC073	C cell-resolution MERSCOPE	MERS02_COLON.provider_checksum = UNRESOLVED	MERS02_COLON	UNRESOLVED	MATCH_WITH_QUALIFIED_WORDING	INFORMATIONAL	Retain qualified wording and blank/UNRESOLVED field.	visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/dataset_manifest_draft_v0_2.tsv;visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/vizgen_release_evidence.tsv
