record_id	field	task4b1_value	recovered_value	status	local_evidence_path	local_evidence_sha1	official_evidence	evidence_priority	notes
CTA01_BCSA2TUMB1	Space Ranger version		1.0.0	CONFIRMED	data/raw/新建文件夹/s41698-025-01104-3.pdf	8509f4f30d2481cee6872843b6da899863475ee3	https://doi.org/10.1038/s41698-025-01104-3; https://zenodo.org/records/15211538; https://researchdata.se/en/catalogue/dataset/2025-97	14	Original paper reports Space Ranger 1.0.0.
CTA01_BCSA2TUMB1	library ID		V10F24-112_C1	CONFIRMED	data/raw/新建文件夹/BreastCancer_CTA-main/ST_data.RData	f4edf41d511e242a6d13686f706c718d73174571	https://doi.org/10.1038/s41698-025-01104-3; https://zenodo.org/records/15211538; https://researchdata.se/en/catalogue/dataset/2025-97	12	Official Visium metadata identifier combining slide serial and capture area.
CTA01_BCSA2TUMB1	raw source path		Official Zenodo spaceranger_output.zip/V10F24-112_C1/outs	CONFIRMED	data/raw/新建文件夹/BreastCancer_CTA-main/ST_data.RData	f4edf41d511e242a6d13686f706c718d73174571	https://doi.org/10.1038/s41698-025-01104-3; https://zenodo.org/records/15211538; https://researchdata.se/en/catalogue/dataset/2025-97	12	Official archive member listing recovered by HTTP range; the full archive was not copied locally.
CTA01_BCSA2TUMB1	processed source path	data/raw/新建文件夹/BreastCancer_CTA-main/ST_data.RData	data/raw/新建文件夹/BreastCancer_CTA-main/ST_data.RData	CONFIRMED	data/raw/新建文件夹/BreastCancer_CTA-main/ST_data.RData	f4edf41d511e242a6d13686f706c718d73174571	https://doi.org/10.1038/s41698-025-01104-3; https://zenodo.org/records/15211538; https://researchdata.se/en/catalogue/dataset/2025-97	1	Actual frozen spatial input object.
CTA01_BCSA2TUMB1	official repository	Swedish National Data Service; Zenodo	Swedish National Data Service 2025-97; Zenodo 15211538	CONFIRMED	data/raw/新建文件夹/s41698-025-01104-3.pdf	8509f4f30d2481cee6872843b6da899863475ee3	https://doi.org/10.1038/s41698-025-01104-3; https://zenodo.org/records/15211538; https://researchdata.se/en/catalogue/dataset/2025-97	12	Official raw and processed data records.
CTA01_BCSA2TUMB1	accession	10.48723/f4v5-m008; Researchdata.se 2025-97	10.48723/f4v5-m008; 10.5281/zenodo.15211538	CONFIRMED	data/raw/新建文件夹/s41698-025-01104-3.pdf	8509f4f30d2481cee6872843b6da899863475ee3	https://doi.org/10.1038/s41698-025-01104-3; https://zenodo.org/records/15211538; https://researchdata.se/en/catalogue/dataset/2025-97	12	Raw source is restricted; processed Space Ranger outputs are provider-hosted on Zenodo.
CTA01_BCSA2TUMB1	provider URL	https://zenodo.org/records/15211538	https://zenodo.org/records/15211538	CONFIRMED	data/raw/新建文件夹/s41698-025-01104-3.pdf	8509f4f30d2481cee6872843b6da899863475ee3	https://doi.org/10.1038/s41698-025-01104-3; https://zenodo.org/records/15211538; https://researchdata.se/en/catalogue/dataset/2025-97	12	Official processed-data archive.
CTA01_BCSA2TUMB1	original CTA annotation		CTA_output.txt plus CTA_align.R	CONFIRMED	data/raw/新建文件夹/BreastCancer_CTA-main/CTA_output.txt	1a47f432e361a353c32c7e51701c8b8c6b1f7207	https://doi.org/10.1038/s41698-025-01104-3; https://zenodo.org/records/15211538; https://researchdata.se/en/catalogue/dataset/2025-97	1	Original cell-level computational pathology output retained locally.
CTA01_BCSA2TUMB1	project spatial registration		Processed Seurat image-slot registration in ST_data.RData	CONFIRMED	data/raw/新建文件夹/BreastCancer_CTA-main/ST_data.RData	f4edf41d511e242a6d13686f706c718d73174571	https://doi.org/10.1038/s41698-025-01104-3; https://zenodo.org/records/15211538; https://researchdata.se/en/catalogue/dataset/2025-97	1	Project registration is not relabelled as original CTA annotation.
CTA01_BCSA2TUMB1	project frozen endpoint		Project-generated frozen spot-level immune endpoint	PROJECT_GENERATED	visualizations/bioapp_experiment/bioapp_coordinate_registration_recovery_audit/bioapp_registration_recovery_summary.json	e17261ab7a4d051c4e68cbd0b78db66294d4d6a7	https://doi.org/10.1038/s41698-025-01104-3; https://zenodo.org/records/15211538; https://researchdata.se/en/catalogue/dataset/2025-97	10	Separate derivative layer; not an original CTA annotation field.
